test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,opus-4-6,degen_all,1,1,1,1,1,1,1,1,1,1.53840592603e-13,1.32047372453e-13,1.51524135161e-09,0.0166506282993,0.00718681441153,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_all/opus-4-6/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.009844464304020925,1.6980560001850392e-06,-0.09091282838086033,0.9539923059746911,0.3334182568736009,0.9535978419440793,-0.0005237194440999317,-0.4835214726393103,-0.5321785462787206]",P**2*c0 + P*c1*exp(P*c2) + P*c3 + P**c4*c5 + c6*tanh(c7*t + c8),1,1,1,1,1,1,1,1,1
BPG1,opus-4-6,degen_all,0,0,0,1,1,0,0,0,0,1.48892826373e-14,1.4279633965e-14,6.76722019246e-12,2.79172894821e-05,2.69847451605e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_all/opus-4-6/BPG1.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[0.31560791933201976,-0.05405088374396992,0.031973569280357175,-0.9680740963394825,2.4036096069109454,-0.006653690775260431,0.9647444248538022]",P*c0*exp(c1*t) + P*c2 + c3*t/(c4 + t) + c5/(c4 + t) + c6*t/(c4 + t),1,1,1,1,1,1,1,1,1
BPG2,opus-4-6,degen_all,0,0,0,0,0,0,0,0,0,3.43212286134e-07,3.46223432223e-07,5.20812546817e-06,1.53879007549,0.630516028128,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG2.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.0005605995631600125,0.012346302730815543,-0.25719098243003813,0.721835292137095,1.529726642409871,-0.00018469823824473296,0.08196499347878683,0.09395192216788578,0.4162442533149577]",P**2*c0 + P*c1 + P*c2*cos(c3*t + c4) + c5*t + c6 + c7*log(P**2*c8 + 1),0,1,1,0,0,1,0,0,1
BPG3,opus-4-6,degen_all,0,0,0,1,1,0,0,0,0,3.32740713474e-12,4.36620684876e-12,0.202803061331,0.415283000705,0.376676406717,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG3.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.008597037060617665,3.5374040986372783,0.16850625035943761,-3.434370780172458,-3.3505899557094683,2.5055153238235786,2.193269522393892e-05,0.0004005716812095189,-9.9999642523404,6.222953618507598e-06]",P**3*c0 + P**2*c1 + P**2*c2 + P**2*c3 + P*c4 + P*c5 + c6/t**5 + c7*exp(P*c8)*log(c9*t + 1),0,0,0,0,0,0,0,0,0
BPG4,opus-4-6,degen_all,0,0,0,0,0,0,0,0,0,2.14075837823e-07,2.4664165382e-07,0.0164445728664,0.369395587222,0.127735304025,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.0035589112546705113,0.34555672811988475,-2.3792865528533476,-0.11389431019866916,-0.008163276941900636,-0.1493440706819854,0.05643601743177831,-0.09657767898185124]",P**2*c0 + P*c1 + P**c2*c3*t + c4*t*exp(c5*t) + c6*exp(c7*t),0,0,1,0,0,0,0,0,0
BPG5,opus-4-6,degen_all,0,0,0,1,1,0,0,0,0,4.15852359201e-10,2.68089846786e-10,1.64010919154e-08,0.233552231942,0.106422272503,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[0.9438857225877038,1.1863659916599765,-2.1411982212984726,-2.3579035214901696,-1.1924813368720986,4.592323193525518,-0.01539596421829989]",P**2*c0 + P**2*c1 + P**2*c2 + P*c3 + P*c4 + P*c5 + c6,0,1,1,0,1,1,0,1,1
BPG6,opus-4-6,degen_all,1,1,1,1,1,1,1,1,1,3.5141559222e-12,2.75605500077e-11,7.63494656953e-07,0.313786467165,0.0672398758213,0,0,0,0,0,1,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[2.2311955413267452,4.193571974424376,-0.6665858005544611,-7.067442934967641,1.2156653298508373,-0.010701087080916605,-4.999999971452402]",P*c0*(P*c1)**c2 + P*c3 + P**c4*c5*t**c6,0,1,1,0,1,1,0,1,1
BPG7,opus-4-6,degen_all,0,1,1,1,1,0,1,0,1,3.07728952289e-09,2.29007905103e-09,2.56100294776e-06,0.420526903536,2.36941394443,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.00796878331850046,0.10607379152566393,1.8044326649819147,-1.7253144105563123,1.5822249161894335e-05,2.6001468502029415,-1.6901702385711397,1.0459077411071338,-0.9994829668434431,1.4937545180345937]",P**3*c0 + P**2*c1 + P*c2 + P*c3 + c4*sin(c5*t + c6) + c7 + c8/(P + c9),0,1,1,0,0,1,0,0,1
BPG8,opus-4-6,degen_all,1,1,1,1,1,1,1,1,1,4.83615147563e-13,5.43096734496e-13,6.75685284378e-09,0.013608178539,0.0444055373309,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_all/opus-4-6/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3,"[-0.025401622369791817,1.9819282992323501,0.3333335971794857,0.9909641913009127]",P**2*c0 + P*c1 + P**c2*c3,1,1,1,1,1,1,1,1,1
BPG9,opus-4-6,degen_all,0,0,0,1,1,0,0,0,0,2.31007496982e-07,1.92852916598e-07,3.0484998e-05,1.07897668691,0.302044942878,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG9.txt,,?,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[-0.0162710874604044,0.17590677178080039,0.9993734647546934,-0.9915143566056559,-0.0002190745389024176,-0.184846916243568,-0.006007068710632725]",P**3*c0 + P**2*c1 + P*c2 + P*c3 + c4*t*exp(c5*t) + c6,0,0,0,0,0,1,0,0,0
BPG10,opus-4-6,degen_all,1,1,1,1,1,1,1,1,1,1.79952511592e-15,2.11021729887e-15,4.05312015984e-14,1.52249454238e-07,1.05652086553e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_all/opus-4-6/BPG10.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5,"[0.1010080959844986,0.10100810071425821,4.146535187630499e-08,0.5486031165159645,4.854603322743358,0.4695834457805266]",P**(1/3)*c0 + P*c1 + c2*sin(P*c3 + c4)*cos(c5*t),1,1,1,1,1,1,1,1,1
BPG11,opus-4-6,degen_all,0,0,0,0,0,0,0,0,0,1.48849285111e-05,1.76900842569e-05,0.778808634932,29.1697186646,0.0966425776799,0,0,0,0,0,1,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG11.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[2.9778,-1.3888,-0.034582,-2.513,-0.94061,2.0397,7.0922,-0.73914]",P**2*c0*exp(c1*t) + P*c2 + c3*tanh(c4*t + c5) + c6*t*exp(c7*t),0,0,1,0,0,1,0,0,1
BPG12,opus-4-6,degen_all,0,1,1,1,1,0,1,0,1,6.88217218943e-13,6.77403423601e-13,1.50789080608e-12,0.000170229234385,0.000561160765688,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_all/opus-4-6/BPG12.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[-0.010666881450743352,0.7013915038325151,-0.8770003019090853,3.1415926555137,0.5671736061686947,5.65407457331173e-07]",P**2*c0 + P*c1 + P*c2*sin(c3 + c4*t) + c5,1,1,1,1,1,1,1,1,1
BPG13,opus-4-6,degen_all,0,0,0,0,0,0,0,0,0,4.8418267768e-06,4.23449905863e-06,0.000900447254619,8.0767381615,12.0807566626,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG13.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.11576172531104334,0.11227162332611408,2.0152315772315963,-1.8212855786386835,-0.13852737291647516,2.475974692608819,-2.275305463135229,-0.0007556508637873294,-0.184846916243568]",P**3*c0 + P**3*c1 + P**2*c2 + P**2*c3 + P**2*c4 + P*c5 + P*c6 + c7*t*exp(c8*t),0,0,0,0,0,0,0,0,0
BPG14,opus-4-6,degen_all,0,0,0,0,0,0,0,0,0,2.15623163676e-05,1.9826734781e-05,58.2825641917,0.81056838114,1.66485489645,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG14.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.0032022782110168444,2.3868884338012517,0.001905492479159043,-2.0977119055440676,-0.09821973435288407,1.4909570384028015,-0.8593167775083748,3.4947510310604755,5.480600225980332,0.0008611119048002827]",P**2*c0 + P**2*c1/(P + c2) + P*c3 + c4*t + c5 + c6*exp(c7/(c8 + t)) + c9*t**2,0,0,1,0,0,0,0,0,0
BPG15,opus-4-6,degen_all,0,0,0,1,1,0,0,0,0,2.12882532571e-14,2.09472499e-14,9.24680355206e-13,1.98012512625e-07,1.26158039738e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_all/opus-4-6/BPG15.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[0.48669113462087443,-0.08577402145350445,0.3333333273925198,0.4866911614134234,-4.5763935398372805e-08,-0.1756703777904966,2.9807800874755965e-08,-0.18139974532229042]",P*c0*exp(c1*t) + P**c2*c3 + c4*t*exp(c5*t) + c6*exp(c7*t),1,1,1,1,1,1,1,1,1
BPG16,opus-4-6,degen_all,0,0,0,1,1,1,0,1,0,2.5674598973e-08,4.40467166165e-08,5.52913156793e-07,0.196980118478,0.159416079816,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG16.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.01011870833576903,0.2053378327041832,-2.060176255847431,-318.5502543929597,-135.9941146613304,0.552330967647345,0.9347504678824162,4.702239752309087e-05,-1.5540252518122861]",P**3*c0 + P**2*c1 + c2*tanh(c3*t + c4) + c5*log(P*c6 + c7*t + 1) + c8,0,1,1,0,1,1,0,1,1
BPG17,opus-4-6,degen_all,0,0,1,1,1,1,0,1,1,2.61852310376e-08,2.47737419507e-08,0.450697002804,0.338565550316,0.173517053453,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG17.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[2.8873284648997473,4.35922375209926,-0.007977993707785715,-3.547245882326924,0.014847594748128898,0.01967611320552523,0.3517590707145644,0.6822464583849829,0.8405260101738135]",P*c0*(P*c1)**c2 + P*c3 + c4*t/(c5 + t) + c6*exp(P**c7*c8),0,0,0,0,0,0,0,0,0
BPG18,opus-4-6,degen_all,1,1,1,1,1,1,1,1,1,1.02072894723e-12,1.15357290371e-12,1.74322597571e-12,0.000291673062877,0.00137530214971,1,1,1,0,1,1,0,1,1,logs/llm-srbench/degen_all/opus-4-6/BPG18.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.12296556484425218,0.11424163649546991,1.85690521578174e-10,0.7781886905577686,4.998063476728415,-0.47705300741626633,0.7760602432458545,3.1415926871384943,0.8909099934342086]",P**2*c0 + P**2*c1 + P**2*c2*sin(c3*t + c4) + P*c5*sin(c6*t + c7) + P*c8,1,1,1,1,1,1,1,1,1
BPG19,opus-4-6,degen_all,0,1,1,1,1,0,1,0,1,8.06592034414e-07,7.54217121586e-07,0.00389072720153,1.83647662814,27.5962166248,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG19.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.0050016,-0.18002,2.2661,0.42258,7.9651e-06,-0.00089011,0.1687,3.9919,-2.5071]",P**2*c0 + P*c1/(P + c2) + P*c3 + c4*t**2 + c5*t + c6 + c7*exp(c8*t),0,0,0,0,0,0,0,0,0
BPG20,opus-4-6,degen_all,0,0,0,0,0,0,0,0,0,1.21947202299e-08,2.13302153093e-08,5.99844745558e-07,0.649187539285,0.766608812855,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG20.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.0002464492081123673,1.7255216485806613,-1.7082660836138068,0.1387301555408676,-8.169834888178702e-05,-0.18484691624356508,-0.0001400932622086011,-0.18484691624356536]",P**3*c0 + P**2*c1 + P**2*c2 + P*c3 + P*c4*exp(c5*t) + c6*t*exp(c7*t),0,0,1,0,1,1,0,0,1
BPG21,opus-4-6,degen_all,0,0,0,0,0,0,0,0,0,4.22959854087e-11,4.10585786081e-11,3.02959660205e-07,0.000121478297468,0.000135845525876,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_all/opus-4-6/BPG21.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.0004855285502490452,1.6896717710838265,-1.6568296309505794,-0.1403970243790001,0.052029605876267405,-4.53047540646712,0.9930644211394797,-0.00012312148756207976,-1.007639572442264,-0.18484674103599208]",P**3*c0 + P**2*c1 + P**2*c2 + P*c3 + c4*t**c5*exp(P*c6) + c7*exp(P*c8 + c9*t),1,1,1,1,1,1,1,1,1
BPG22,opus-4-6,degen_all,0,0,0,0,0,0,0,0,0,3.53058667609e-08,3.2954450043e-08,0.00310491598556,0.00803699332657,0.0212002079636,0,1,1,0,0,1,0,0,1,logs/llm-srbench/degen_all/opus-4-6/BPG22.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[0.14491632295898207,0.13422546647344338,-0.09783212669227559,-0.46081154404355357,0.7207615503900969,2.5927845675911403,2.3457302616523825,0.04473704930590323]",P*c0 + P*c1*exp(c2*t) + c3 + c4*sin(c5 + c6*log(P*c7 + 1)),0,1,1,0,0,1,0,0,1
BPG23,opus-4-6,degen_all,0,0,0,1,1,0,0,0,0,1.10527371862e-05,1.49884678092e-05,0.00177493031608,63.9998407403,10.7195784384,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_all/opus-4-6/BPG23.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.01975341907646516,6.967990567932939,1.281580616178798,1.020254747616103,-0.04790007644546091,-0.13260612394679205,3.899504363662751,-0.17361222492714704,-0.13260608046296574]",P**3*c0/(P + c1) + P**2*c2/(P + c1) + P*c3/(P + c1) + P*c4*t*exp(c5*t)/(P + c1) + c6*t*exp(c5*t)/(P + c1) + c7*exp(c8*t),0,0,0,0,0,0,0,0,0
BPG_all,opus-4-6,degen_all,5/24,8/24,9/24,16/24,16/24,7/24,8/24,7/24,9/24,7.63600487639e-09,1.18101471802e-08,1.66224880236e-06,0.326176008741,0.117078788264,6/24,7/24,9/24,5/24,7/24,11/24,5/24,6/24,9/24,,,,aggregate row; no single NMSE,combined aggregate row,,[],,8/24,14/24,18/24,8/24,12/24,17/24,8/24,11/24,16/24
