test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,opus-4-6,degen_generator,1,1,1,1,1,1,1,1,1,1.53602293141e-13,1.31786854168e-13,1.52328623447e-09,0.0167689956245,0.00721477730228,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_generator/opus-4-6/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[-0.00984447060777346,0.9539969301312234,1.3127516902502963e-09,4.999999999999999,1.6844493879328015,0.333333496228322,0.9539969238705589]",P**2*c0 + P*c1 + P*c2*sin(c3 + c4*t) + P**c5*c6,1,1,1,1,1,1,1,1,1
BPG1,opus-4-6,degen_generator,0,1,1,1,1,1,1,1,1,5.17909013312e-15,5.28882773035e-15,7.23185156572e-13,7.81848657553e-07,1.18755661721e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_generator/opus-4-6/BPG1.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[0.3156062557579671,-0.05405073591980737,0.03197352710144927,-0.4048318205822143,-0.0008752372184592073,0.10888681751799681,0.017121223898568034,-0.002851026173341819]",P*c0*exp(c1*t) + P*c2 + P**c3*c4*log(c5*t + 1) + P**c6*c7,1,1,1,1,1,1,1,1,1
BPG2,opus-4-6,degen_generator,0,0,1,1,1,1,1,1,1,6.20813332407e-13,5.08023585221e-13,6.71099271291e-13,0.00139352648982,3.52457131444e-05,0,1,1,1,1,1,0,1,1,logs/llm-srbench/degen_generator/opus-4-6/BPG2.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.2569297847339789,0.7218439664170153,3.14159213777586,-1.6568771530399567e-05,29.18850926279543,8.148808233208232e-07,0.02830400100982213,114917.6591938331,-0.03038424831388925,1.0000988350275672e-06]",P*c0*sin(c1*t + c2) + P*c3/(P + c4) + c5*exp(c6*t) + c7*exp(c8*t)*log(P*c9 + 1),1,1,1,1,1,1,1,1,1
BPG3,opus-4-6,degen_generator,0,0,0,1,1,0,0,0,0,2.08835325574e-12,2.81694240609e-12,0.203681549659,0.413308494194,0.373672456599,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_generator/opus-4-6/BPG3.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[14.188002048329173,52.500544996741404,56.12320259034431,-0.8376215920703871,13.635427997776496,-44.36738112980855,-47.18763123485991,1.3360448856590494e-07]",P**2*c0/(c1 + c2*exp(c3*t)) + P**2*c4*exp(c3*t)/(c1 + c2*exp(c3*t)) + P*c5/(c1 + c2*exp(c3*t)) + P*c6*exp(c3*t)/(c1 + c2*exp(c3*t)) + c7*t/(c1 + c2*exp(c3*t)),0,0,0,0,0,0,0,0,0
BPG4,opus-4-6,degen_generator,0,0,0,0,0,0,0,0,0,1.13361876701e-13,1.3096906983e-13,5.6227152803e-07,0.0112405300574,0.00105296626124,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_generator/opus-4-6/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.003559046618408499,0.008824007033491543,-0.03443706194980362,3.2460552695788305,0.34557134545776713,0.4147839232880767,-0.09135813857079769,-0.01598391794282201,3.092738962127527]",P**2*c0 + P*c1*exp(c2*t**c3) + P*c4 + P**c5*c6*exp(c7*t**c8),1,1,1,1,1,1,1,1,1
BPG5,opus-4-6,degen_generator,1,1,1,1,1,1,1,1,1,1.8191272619e-13,1.53383036411e-13,3.06732243464e-09,0.0369492418584,0.0199713982156,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_generator/opus-4-6/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[-6.928538881376796,7.531687830960356,0.9089717724653735,0.9198267491274376,5.879574968506319e-07,0.2933278184116136,1.7461181013292528,0.8263568410891073]",P**3*c0/(P*c1 + 1) + P**2*c2 + P*c3 + c4*exp(c5*sin(P*c6 + c7)),1,1,1,1,1,1,1,1,1
BPG6,opus-4-6,degen_generator,1,1,1,1,1,1,1,1,1,6.94627036859e-10,6.77056409473e-09,0.00425110702148,5.04001997115,5.04016963987,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_generator/opus-4-6/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[0.85788,3.8052e-10,71944000000.0,1.0,-54785.0,0.0006287,54785.0]",P**(1/3)*c0 + P*c1*(c2 + t)**c3 + c4*exp(P*c5) + c6,0,0,0,0,0,0,0,0,0
BPG7,opus-4-6,degen_generator,1,1,1,1,1,1,1,1,1,3.76867662374e-13,2.61574210234e-13,5.42020587287e-09,0.00596542025303,0.00463686434576,0,1,1,0,1,1,0,1,1,logs/llm-srbench/degen_generator/opus-4-6/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[0.721355308873594,-0.008011209140348611,0.10845649135333733,3.0634625139747544e-08,3.382986553101133e-08,4.7167639049030985,1.0593730668054495]",P**(1/3)*c0 + P**3*c1 + P**2*c2 + c3 + c4*sin(c5 + c6*t),1,1,1,1,1,1,1,1,1
BPG8,opus-4-6,degen_generator,0,1,1,1,1,1,1,1,1,4.82988488484e-13,5.41716327723e-13,6.73907997796e-09,0.0144808534613,0.0450358057578,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_generator/opus-4-6/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[0.9909650744758328,-0.02540162244648198,1.9819283341342762,-1.1704811371777184e-06,2.348750428889246e-07,0.8884148121577631,0.5098558866694225]",P**(1/3)*c0 + P**2*c1 + P*c2 + c3 + c4*sin(c5 + c6*t),1,1,1,1,1,1,1,1,1
BPG9,opus-4-6,degen_generator,0,0,0,1,1,1,1,1,1,7.9504511888e-13,6.14717114654e-13,3.3527644799e-09,0.0167561804721,0.00516938950696,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_generator/opus-4-6/BPG9.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[-0.015036550175583698,0.06047331085130325,4.214553531912496,0.028080198006222502,3.9952669042950224,-5.0996449302366275e-06]",P**3*c0 + P**2*c1 + P*c2*log(P*c3 + 1) + P**c4*c5,1,1,1,1,1,1,1,1,1
