test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,gpt-5-2,degen_mutator1,1,1,1,1,1,1,1,1,1,1.53704012181e-13,1.31734393498e-13,1.52918054824e-09,0.0164324343102,0.00739046580532,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_mutator1/gpt-5-2/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.009844471435996538,0.9539968118853004,3.390636034662409e-08,0.3333334570831251,0.9540015268038797,-1.1258755513489503e-06,-1.512700776842581,-3.4412397360959056e-06]",P**2*c0 + P*c1 + P*c2*t + P**c3*c4 + c5*t**c6 + c7*t,1,1,1,1,1,1,1,1,1
BPG1,gpt-5-2,degen_mutator1,1,1,1,1,1,1,1,1,1,5.17365829744e-15,5.30116708675e-15,6.55462071121e-13,1.13591043557e-07,1.11330267796e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_mutator1/gpt-5-2/BPG1.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.03197349884275452,0.31560580280671424,-0.05405075227430722,-4.949019435887987e-06,2.444949413293173,-7.227050435601298e-05,22.166247801351858,2.971813417768417,0.007250025418076204,-0.003220700120169255]",P*c0 + P*c1*exp(c2*t) + c3*log(c4*t + 1) + c5*t/(P*c6 + c7) + c8/(P*c6 + c7) + c9,1,1,1,1,1,1,1,1,1
BPG2,gpt-5-2,degen_mutator1,0,0,0,0,0,0,0,0,0,1.39628803676e-10,1.48515219729e-10,1.13535634287e-08,0.0161371676165,0.0169008919125,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_mutator1/gpt-5-2/BPG2.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.2569295347142588,0.7218436365646624,9.414200095717774e-06,-1.7432795501344935,0.22198437224395634,20.13103582792136,18.68927231418233,0.6764553037526055,41.225145977742926,0.0001936049980633513]",P*c0*sin(c1*t + c2) + P*c3 + P*c4*(c5 + t)**(1/5) + P*c6/(c7*t + c8) + P + c9/t,1,1,1,1,1,1,1,1,1
BPG3,gpt-5-2,degen_mutator1,0,0,0,0,0,0,0,0,0,1.74916603988e-12,2.19532308822e-12,0.125856884957,0.351443816271,0.355199688329,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_mutator1/gpt-5-2/BPG3.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[3.837566373059671,515.5116748838311,9.66738884478129e-08,1.5934458380445968,4.648185456962997,-552.9478779292525,0.07261950590385606,-0.13416687738409805]",P*c0 + c1 + c2*sin(c3*t + c4) + c5/(c6*exp(P*c7) + 1),0,0,0,0,0,0,0,0,0
BPG4,gpt-5-2,degen_mutator1,0,0,0,0,0,0,0,0,0,3.53322654746e-10,4.53585652236e-10,2.80582631234e-05,0.0456284916,0.00530284868753,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_mutator1/gpt-5-2/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.0035589777358897966,0.34556329474630243,-1.9045991925272427,9.822179004440516,-1555.579222007452,1.9156320432217875,60.212473674986,1.1444277389880597,-14.166873119621123,0.9187620777851163]",P**2*c0 + P*c1 + P**c2*c3 + c4/(P + c5)**5 + c6*t/(P + c7)**5 + c8/(P + c9)**2,0,1,1,0,1,1,0,1,1
BPG5,gpt-5-2,degen_mutator1,1,1,1,1,1,1,1,1,1,1.81924595151e-13,1.53398769744e-13,3.06762965875e-09,0.0369528823705,0.0199694534646,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_mutator1/gpt-5-2/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.010946715500807377,1.0419665001761815,-0.7045786668691298,43.44923635365043,5.7679394365066825,1.740704518061942e-07,1.7691679033079413,4.999999999995642,4.4630176252425845e-06]",P**2*c0 + P*c1 + P*c2/(P*c3 + c4) + c5*sin(P*c6 + c7) + c8/(P*c3 + c4),1,1,1,1,1,1,1,1,1
BPG6,gpt-5-2,degen_mutator1,1,1,1,1,1,1,1,1,1,1.3422529342e-15,6.18045359547e-15,4.52689979502e-09,0.0072473653745,0.00763714069763,0,1,1,0,1,1,0,1,1,logs/llm-srbench/degen_mutator1/gpt-5-2/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5,"[0.8578832059269207,42.427071869814085,113110.51824199545,-113110.51824224195,0.0004375735587074174,1.1007764173065102e-11]",P**(1/3)*c0 + P*c1 + c2 + c3*exp(P*c4) + c5*t,1,1,1,1,1,1,1,1,1
BPG7,gpt-5-2,degen_mutator1,1,1,1,1,1,1,1,1,1,3.76868420183e-13,2.61559218723e-13,5.42004914278e-09,0.00596591967301,0.00463871565719,0,1,1,0,1,1,0,1,1,logs/llm-srbench/degen_mutator1/gpt-5-2/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[0.7213553327983657,-0.008011209123692329,0.05422821191995961,0.054228279059700284,-3.366524174763377e-08,1.6232278703327145,1.0582285453592015]",P**(1/3)*c0 + P**3*c1 + P**2*c2 + P**2*c3 + c4*sin(c5 + c6*t),1,1,1,1,1,1,1,1,1
BPG8,gpt-5-2,degen_mutator1,0,1,1,1,1,1,1,1,1,4.83010648302e-13,5.41720548622e-13,6.73857087305e-09,0.0144800280977,0.0450232440083,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_mutator1/gpt-5-2/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[0.9909642295475222,-0.02540162275905581,1.9819283900139897,2.3290878167609795e-07,0.509434575953976,0.9009682170565453]",P**(1/3)*c0 + P**2*c1 + P*c2 + c3*sin(c4*t + c5),1,1,1,1,1,1,1,1,1
BPG9,gpt-5-2,degen_mutator1,0,0,0,0,0,0,0,0,0,7.93238652329e-13,6.14976436071e-13,3.35357212536e-09,0.0168218531314,0.00517785722055,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_mutator1/gpt-5-2/BPG9.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[-0.0018900923387230317,0.12319362214607646,5.592256426069244,-0.07134982653493017,3.9812269635701902,-3.951715084672685e-06]",P**4*c0/(P*c1 + c2) + P**3*c3/(P*c1 + c2) + P**2/(P*c1 + c2) + P**c4*c5,1,1,1,1,1,1,1,1,1
