test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,opus-4-6,degen_mutator3_selector2,1,1,1,1,1,1,1,1,1,1.53779817908e-13,1.31962881794e-13,1.52130234361e-09,0.016428684057,0.00749887079323,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_mutator3_selector2/opus-4-6/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[0.9539973286305751,0.3333323162616565,0.95399836475691,-0.9892736714929898,-1.1072886188585742e-06,1.999999846758939,-0.009844479767123824,-2.209983768155622e-09,-7.353646258154889e-07]",P*c0 + P**c1*c2 + P**c3*c4*t + P**c5*c6*t**c7 + c8,1,1,1,1,1,1,1,1,1
BPG1,opus-4-6,degen_mutator3_selector2,1,1,1,1,1,1,1,1,1,5.17209859055e-15,5.29237887119e-15,6.49584388678e-13,1.32180690032e-07,1.10960377767e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_mutator3_selector2/opus-4-6/BPG1.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[0.315615841266872,9.87117061178576,-6.148335152002941e-05,583.8085072182208,0.3156057421426495,-0.05405071206194051,4.4727271979090386e-07,0.0009556738958441794,0.010030132103757269]",P**2*c0/(P*c1 + 1) + P*c2/(P + c3) + P*c4*exp(c5*t) + c6*log(c7*exp(P*c8) + 1),1,1,1,1,1,1,1,1,1
BPG2,opus-4-6,degen_mutator3_selector2,0,0,1,1,1,1,1,1,1,6.21258303302e-13,5.08657475438e-13,6.81593554422e-13,0.00131058620708,5.74051929583e-05,0,1,1,1,1,1,0,1,1,logs/llm-srbench/degen_mutator3_selector2/opus-4-6/BPG2.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.25693278275672815,513809.15230595047,1.0000986309130772e-06,0.36092196006847327,3.926990881909044,6.8945737200060855e-06,-0.01285342981332616,0.11492532578651785,-0.03038568858119035]",P*c0 + P*c1*log(c2*sin(c3*t + c4)**2 + 1) + P*c5*exp(P*c6) + P*c7*exp(c8*t),1,1,1,1,1,1,1,1,1
BPG3,opus-4-6,degen_mutator3_selector2,0,0,0,0,0,0,0,0,0,1.67527373687e-12,2.15136637457e-12,0.125576970624,0.350885301259,0.355733035917,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_mutator3_selector2/opus-4-6/BPG3.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.002056756567743591,0.4036377810362429,-74.98397415345707,2.267033481161806,0.036639376444848264,1.4345592598146113,74.28917840396613,-1.2572173250580558e-09,1.5992230598761719,7.55293782201651]",c0*log(P*c1 + 1) + c2*sin(c3*log(P*c4 + 1) + c5) + c6*exp(c7*sin(c8*t + c9)),0,0,0,0,0,0,0,0,0
BPG4,opus-4-6,degen_mutator3_selector2,1,1,1,1,1,1,1,1,1,5.18842368743e-14,5.32816344839e-14,5.61971665007e-07,0.0106888267116,0.00107790506381,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_mutator3_selector2/opus-4-6/BPG4.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.003559046561836898,0.25917850826213,0.08639283184215858,0.7618712371173986,-0.7037347057362604,-5.221769823536347e-10,1.9764644590910299,0.6483823265690444]",P**2*c0 + P*c1 + P*c2*tanh(P*c3 + c4) + P*c5*sin(c6*t + c7),1,1,1,1,1,1,1,1,1
BPG5,opus-4-6,degen_mutator3_selector2,0,1,1,1,1,1,1,1,1,1.82062978483e-13,1.53441809192e-13,3.06366058293e-09,0.0368045292246,0.0200600075306,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_mutator3_selector2/opus-4-6/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.010946715394244124,1.0419664691391053,-0.059553704674276876,0.2722227316629608,-0.4763220657241021,-2.551609864948727e-05,-2.8674348544539625,4.840742658933298e-05]",P**2*c0 + P*c1 + P*c2*log(1 + c3/P) + P**c4*c5 + P**c6*c7*t,1,1,1,1,1,1,1,1,1
BPG6,opus-4-6,degen_mutator3_selector2,0,0,1,1,1,1,1,1,1,9.39775113623e-16,6.07962604302e-15,4.49258851788e-09,0.00644837686245,0.00729526398587,0,1,1,0,1,1,0,1,1,logs/llm-srbench/degen_mutator3_selector2/opus-4-6/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.857882840534924,-0.012804221515628413,-0.09913151603786126,0.12911460560851548,3.032427657750266,-7.0671035039489905,-5.852602698099792e-08,0.889055553849133,9.508235625160324,1.4461508434495245]",P**(1/3)*c0 + P**3*c1 + P**2*c2*sin(P*c3 + c4) + P*c5 + c6*sin(c7*exp(P*c8) + c9),1,1,1,1,1,1,1,1,1
BPG7,opus-4-6,degen_mutator3_selector2,1,1,1,1,1,1,1,1,1,3.76838374907e-13,2.6152720665e-13,5.42037208328e-09,0.0059650306679,0.00463806352832,0,1,1,0,1,1,0,1,1,logs/llm-srbench/degen_mutator3_selector2/opus-4-6/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[0.7213552999674743,-0.008011208957120763,0.05422812623234614,0.05422836040159143,-2.3337433555509445e-09,1.6200304794805112,1.0583604750727467,3.346834993283154e-08]",P**(1/3)*c0 + P**3*c1 + P**2*c2 + P**2*c3 + P*c4*sin(c5 + c6*t) + P*c7,1,1,1,1,1,1,1,1,1
BPG8,opus-4-6,degen_mutator3_selector2,1,1,1,1,1,1,1,1,1,4.83059871091e-13,5.42182818311e-13,6.73271282432e-09,0.0143852196036,0.043642647592,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_mutator3_selector2/opus-4-6/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[-0.025401622452778518,1.9819283070983467,0.3333336409398492,0.9909639786567049,-0.0693134471940171,2.924231723044494e-07,0.48369832573061455]",P**2*c0 + P*c1 + P**c2*c3 + P**c4*c5*cos(c6*t),1,1,1,1,1,1,1,1,1
BPG9,opus-4-6,degen_mutator3_selector2,0,0,0,0,0,0,0,0,0,7.93401542044e-13,6.15062869622e-13,3.35361347759e-09,0.0168251943111,0.00517828587603,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_mutator3_selector2/opus-4-6/BPG9.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4,"[-0.017160624532250177,-0.5227722710031495,0.3707653969925829,0.023160079760813822,30.293118914501576]",P**3*c0 + P**2*c1 + P**2*c2*log(P*c3 + 1) + P*c4*log(P*c3 + 1),1,1,1,1,1,1,1,1,1
