test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,opus-4-6,degen_selector1,1,1,1,1,1,1,1,1,1,1.53620767348e-13,1.3220927281e-13,1.51761146987e-09,0.0170655056561,0.00715081466118,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_selector1/opus-4-6/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.009844470744541207,0.953996961855052,3.838160091547916,8.069827240791966,-0.6666665990033119,1.250466577943942e-07,1.4392298924351234,-2.499650978557848]",P**2*c0 + P*c1 + P*c2*(P*c3)**c4 + c5*sin(c6*t + c7),1,1,1,1,1,1,1,1,1
BPG1,opus-4-6,degen_selector1,0,1,1,1,1,1,1,1,1,5.17909850309e-15,5.28860426985e-15,7.23991692927e-13,7.73074761815e-07,1.18818725202e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/degen_selector1/opus-4-6/BPG1.txt,,?,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[0.03197352722131842,0.31560625885708615,-0.05405073595946848,-0.40542190774853043,-0.0008788981184963549,0.10836734292797122,0.01713980300798448,-0.002851065861840696]",P*c0 + P*c1*exp(c2*t) + P**c3*c4*log(c5*t + 1) + P**c6*c7,1,1,1,1,1,1,1,1,1
BPG2,opus-4-6,degen_selector1,0,0,1,1,1,1,1,1,1,2.72899988619e-08,2.55930083906e-08,4.76139583547e-08,0.121721002216,0.0526254782089,0,0,0,0,0,1,0,0,0,logs/llm-srbench/degen_selector1/opus-4-6/BPG2.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.25693,6.2832,0.72184,7.8694e-07,0.10489,16.018,1.4572e-05,114930.0,-0.030384,1e-06]",P*c0*sin(c1 + c2*t) + c3*t/(c4*t + c5) + c6/(c4*t + c5) + c7*exp(c8*t)*log(P*c9 + 1),0,1,1,0,1,1,0,1,1
BPG3,opus-4-6,degen_selector1,0,0,0,0,0,0,0,0,0,1.59986122417e-12,2.09364556629e-12,0.127437671409,0.336316705609,0.367661908423,0,0,0,0,0,0,0,0,0,logs/llm-srbench/degen_selector1/opus-4-6/BPG3.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.3188891350489813,52.00267765754712,-2364.7847946048046,0.02234781059154086,3.996906293247415e-08,1.7040232242949234,1.5660566024951206,-0.5294644101013936]",P**2*c0 + P*c1 + c2*log(P*c3 + 1) + c4*exp(c5*sin(c6*t + c7)),0,0,0,0,0,0,0,0,0
BPG4,opus-4-6,degen_selector1,0,0,0,0,0,0,0,0,0,4.65255675762e-13,4.75486181204e-13,5.62534755006e-07,0.0114074736243,0.00106088816068,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_selector1/opus-4-6/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.003559046866209369,-0.6544286182296963,-1.205165127502047e-06,0.40850400466463666,1.481862575967363,-1.1947840486168086,-0.47707722401785013,1.1777205548042609,-0.8442687636158055]",P**2*c0 + P*c1 + P + c2 + c3*exp(P**c4*c5) + c6*exp(P**c7*c8),1,1,1,1,1,1,1,1,1
BPG5,opus-4-6,degen_selector1,1,1,1,1,1,1,1,1,1,1.81755279019e-13,1.53192781986e-13,3.05659937015e-09,0.0378740732064,0.0208373578958,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_selector1/opus-4-6/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.3179062032598627,29.041240926058865,3.855992078658094,15.108049085204259,15.109740731903479,1.7870278909915716,1.7598477733813909,1.3946599571972487e-09,1.1983182061272106,1.1202709536353601]",P**3*c0/(P*c1 + c2) + P**2*c3/(P*c1 + c2) + P**2*c4/(P*c1 + c2) + P*c5/(P*c1 + c2) + P*c6/(P*c1 + c2) + P*c7*sin(c8*t + c9),1,1,1,1,1,1,1,1,1
BPG6,opus-4-6,degen_selector1,0,1,1,1,1,1,1,1,1,1.24749554014e-15,6.52244359248e-15,4.49433960972e-09,0.00651966008958,0.00736673921864,0,1,1,0,1,1,0,1,1,logs/llm-srbench/degen_selector1/opus-4-6/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[0.8578822644490849,1.537369270294145e-05,-0.004806137409814966,-0.006025424623351789,-2.356734425749133,-2.3524986542837847,-2.357864987775153]",P**(1/3)*c0*cos(P*c1) + P**2*c2 + P**2*c3 + P*c4 + P*c5 + P*c6,1,1,1,1,1,1,1,1,1
BPG7,opus-4-6,degen_selector1,0,1,1,1,1,1,1,1,1,3.76801878618e-13,2.61493226788e-13,5.41966260941e-09,0.0059659171562,0.004633203883,0,1,1,0,1,1,0,1,1,logs/llm-srbench/degen_selector1/opus-4-6/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.00801120823398531,3.2689908672397864e-10,1.0581959144680757,4.589908426692499,0.10845646065683609,5.005904885748114e-07,2.5429005568519623e-09,1.2700132531833617,0.3333327932618237,0.7213548992304809]",P**3*c0 + P**2*c1*sin(c2*t + c3) + P**2*c4 + P*c5 + P*c6*sin(c2*t + c7) + P**c8*c9,1,1,1,1,1,1,1,1,1
BPG8,opus-4-6,degen_selector1,1,1,1,1,1,1,1,1,1,4.82922315886e-13,5.41663580268e-13,6.74276146438e-09,0.0144521464822,0.0451664799679,0,0,1,0,0,1,0,0,1,logs/llm-srbench/degen_selector1/opus-4-6/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.9909626687041543,-0.025401624137950562,2.1839843426111917e-09,4.999840755742265,0.5142963365471759,0.990964283037898,0.9909642830378955,-1.7628710555496395e-07,4.984884749743329,1.480926524228075e-06]",P**(1/3)*c0 + P**2*c1 + P**2*c2*sin(c3 + c4*t) + P*c5 + P*c6 + P*c7*sin(c4*t + c8) + c9,1,1,1,1,1,1,1,1,1
BPG9,opus-4-6,degen_selector1,0,0,0,1,1,1,1,1,1,7.9277561428e-13,6.15377301069e-13,3.35380048841e-09,0.0168415194892,0.00518034855867,0,0,1,0,1,1,0,0,1,logs/llm-srbench/degen_selector1/opus-4-6/BPG9.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.01655132635733593,0.09859127286241741,0.09860608118531987,5.528453829927529,0.08399024524436172,1.6841154338716553,-5.492999971751886,0.4972916670118398,0.007555125949060002,0.10560571188120402]",P**3*c0 + P**2*c1 + P**2*c2 + c3*sin(P*c4 + c5) + c6 + c7*log(P**2*c8 + P*c9 + 1),1,1,1,1,1,1,1,1,1
