test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,opus-4-6,direct_prompt,0,0,0,0,0,,,,,0.000786759711185,0.000885160124773,0.0218724179761,39.5401894692,17.8098057004,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG0_direct.txt,5,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2,"[8.606353293367228,0.0015100072408340494,7.463833143881542]",c0 * P / (1 + c1 * P) - c2 * P,0,0,0,0,0,0,0,0,0
BPG1,opus-4-6,direct_prompt,0,0,0,0,0,,,,,7.64716815074e-05,7.84796884799e-05,0.0732602198892,0.962811186186,0.0219310955536,0,0,0,0,0,1,0,0,0,baseline/direct_prompt/logs/BPG1_direct.txt,10,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2;c3,"[-319208.85515026096,0.4301390274435227,0.9777734205751347,1.1268819643659919e-06]",c0 * P ** c1 * (1 - (P / c2) ** c3),0,0,0,0,0,1,0,0,0
BPG2,opus-4-6,direct_prompt,0,0,0,0,0,,,,,0.993421627756,1.00606588949,0.998131142742,603.621768668,22.4787729418,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG2_direct.txt,15,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2,"[0.1074155340528137,56.26094511438917,0.0010246933941208075]",c0 * P * (1 - P / c1) - c2 * P * t,0,0,0,0,0,0,0,0,0
BPG3,opus-4-6,direct_prompt,0,0,0,0,0,,,,,1.00453626244e-11,1.14286188505e-11,0.280460974875,0.509261838033,0.519213415373,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG3_direct.txt,2,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2,"[0.845066692100962,3.497630880538194,28.276640865529636]",c0 * P * (1 - P / c1) * (P / c2 - 1),0,0,0,0,0,0,0,0,0
BPG4,opus-4-6,direct_prompt,0,0,0,0,0,,,,,8.99212897468e-06,7.7486540347e-06,0.702463816156,9.16742858763,0.683868031883,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG4_direct.txt,9,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2;c3,"[0.34644985254889726,97.15693125364099,0.02155498967709,-0.8243460132112069]",c0 * P * (1 - P / c1) - c2 * P / (c3 + P),0,0,0,0,0,0,0,0,0
BPG5,opus-4-6,direct_prompt,0,0,0,0,0,,,,,1.82057669492e-13,1.53442091921e-13,3.06396544945e-09,0.0368241747781,0.0200378593261,0,0,1,0,0,1,0,0,1,baseline/direct_prompt/logs/BPG5_direct.txt,11,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2;c3,"[1.0419665055530196,95.18530926143829,0.016216238787178514,0.13277883174990912]",c0 * P * (1 - P / c1) - c2 * P / (c3 + P),1,1,1,1,1,1,1,1,1
BPG6,opus-4-6,direct_prompt,0,0,0,0,0,,,,,1.90090479882e-08,2.28236649691e-08,0.000578448448605,1.89435406982,1.8970978153,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG6_direct.txt,3,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2,"[-7.087947738090603,0.04228959338019331,-0.6635285190483401]",c0 * P * (1 - (P / c1)**c2),0,0,0,0,0,0,0,0,0
BPG7,opus-4-6,direct_prompt,0,0,0,0,0,,,,,0.000732469079451,0.000446788340935,0.0101956825776,18.0627797581,95.2910098949,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG7_direct.txt,3,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2,"[0.6213710967504288,14.573264549541069,3.18161444818045]",c0 * P * (1 - (P / c1)**c2),0,0,0,0,0,0,0,0,0
BPG8,opus-4-6,direct_prompt,0,0,0,0,0,,,,,1.83563232931e-06,2.89536437813e-06,7.64068827696e-05,1.91727490647,4.37267388175,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG8_direct.txt,12,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2;c3,"[2.027470832326533,79.19394950393625,-1.9363684144922326,1.331593212838235]",c0 * P * (1 - P / c1) - c2 * P / (c3 + P),0,0,0,0,0,1,0,0,0
BPG9,opus-4-6,direct_prompt,0,0,0,0,0,,,,,4.24747626717e-06,4.53469680985e-06,0.000145159599746,5.32940748005,0.752318832599,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG9_direct.txt,2,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2,"[1.77610685189322e-07,1.0000007080179785e-06,10.852292399030347]",c0 * P * (1 - P / c1) * (P / c2 - 1),0,0,0,0,0,0,0,0,0
BPG10,opus-4-6,direct_prompt,1,1,1,1,1,,,,,1.80127031531e-15,2.11513237823e-15,4.05401989292e-14,9.05173992558e-08,1.06149852924e-07,1,1,1,1,1,1,1,1,1,baseline/direct_prompt/logs/BPG10_direct.txt,30,1,from_direct_prompt_all_candidates_nmse.csv:ok,SA=1: min train_nmse among matching logs,c0;c1;c2,"[0.10100809622002474,0.3333333333333333,-0.10100810071072919]",c0 * P**c1 - c2 * P,1,1,1,1,1,1,1,1,1
BPG11,opus-4-6,direct_prompt,0,0,0,0,0,,,,,0.700586782475,0.760721143013,223.778231743,19932.4673186,1.00424191305,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG11_direct.txt,6,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1,"[0.40353766011531894,0.184846916243568]",c0 * P * exp(-c1 * t),0,0,0,0,0,0,0,0,0
BPG12,opus-4-6,direct_prompt,0,0,0,0,0,,,,,0.974145546497,0.984332627994,15.4937798906,12.4592047467,2019.93414961,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG12_direct.txt,29,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2;c3,"[-2.902123760143572e-10,1.000000000000067e-06,-1.5390073552505757e-05,-0.18488725286941496]",c0 * P * (1 - P / c1) + c2 * P * exp(-c3 * t),0,0,0,0,0,0,0,0,0
BPG13,opus-4-6,direct_prompt,0,0,0,0,0,,,,,4.96113240008e-06,4.32454080501e-06,2.74393753992e-05,0.700673292758,2.24832569901,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG13_direct.txt,15,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2,"[0.0034910589956137794,18.917896510726134,-3.0300214502017844]",c0 * P * (P - c1) * (c2 - P),0,0,1,0,0,1,0,0,1
BPG14,opus-4-6,direct_prompt,0,0,0,0,0,,,,,0.000968589067371,0.000866608570022,2474.50416329,59.4075995759,8.33085469412,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG14_direct.txt,21,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2,"[0.2703773632895365,87.81126851727997,-0.03054197841817259]",c0 * P * (1 - P / c1) + c2 * t,0,0,0,0,0,0,0,0,0
BPG15,opus-4-6,direct_prompt,0,0,0,0,0,,,,,0.00487211005599,0.00490879880395,22.6483223705,0.58305616639,0.357325464069,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG15_direct.txt,17,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2;c3,"[3.6272565713188754e-11,1.0000000000039613e-06,-38.657321403551336,102.04610051530625]",c0 * P * (1 - P / c1) - c2 * P / (c3 + P),0,0,0,0,0,0,0,0,0
BPG16,opus-4-6,direct_prompt,0,0,0,0,0,,,,,0.000472927208863,0.000730081511004,0.00399960654112,27.5463730705,14.5241891906,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG16_direct.txt,26,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2;c3,"[0.6376201255289929,2.0153010701610063,-394.6961472636035,30.80871772766113]",c0 * P * (1 - P / c1) - c2 * P**2 / (c3**2 + P**2),0,0,0,0,0,0,0,0,0
BPG17,opus-4-6,direct_prompt,0,0,0,0,0,,,,,3.86815957392e-11,3.5991938402e-11,0.0001692149304,0.00904060818724,0.00345282118915,0,1,1,0,1,1,0,1,1,baseline/direct_prompt/logs/BPG17_direct.txt,11,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1;c2;c3,"[-0.4767654771546033,5.455911745703219,-0.5876246873646499,0.1181884074268116]",c0 * P * (1 - P / c1) - c2 * P / (c3 + P),0,1,1,0,1,1,0,1,1
BPG18,opus-4-6,direct_prompt,0,0,0,0,0,,,,,0.96906820047,0.9555949454,1.26918267478,250.56573248,1.01480840464,0,0,0,0,0,0,0,0,0,baseline/direct_prompt/logs/BPG18_direct.txt,8,0,from_direct_prompt_all_candidates_nmse.csv:ok,SA=0: min train_nmse among all candidates,c0;c1,"[0.5716843070562165,0.184846916243568]",c0 * P * exp(-c1 * t),0,0,0,0,0,0,0,0,0
