test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,gpt-5-2,full,1,1,1,1,1,1,1,1,1,1.53906773304e-13,1.31458433975e-13,1.54960815104e-09,0.0163325847095,0.00793742374675,0,0,1,0,1,1,0,0,1,logs/llm-srbench/full/gpt-5-2/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.10556191780129486,10.722964235483484,1.0000155154323695e-06,0.010885090334948201,1.2459341107423831,-2.1618882558470447,3.4113732002455746,-0.6666665774350192,0.9999996006097402,3.1158852192614104]",P**2*c0/(c1 + c2*sin(c3*t + c4)) + P*c5*(1 - (P*c6)**c7)**c8 + P*c9,1,1,1,1,1,1,1,1,1
BPG1,gpt-5-2,full,1,1,1,1,1,1,1,1,1,5.17273935563e-15,5.2942457541e-15,6.78315081686e-13,1.13193901219e-07,1.14679357919e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/full/gpt-5-2/BPG1.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[0.03197350212169095,0.1013138132384539,0.31560571642082297,-0.05405075327013625,0.03197537671983294,4.708837212766884,-1.9067405484658108e-16,-0.1644977546824425]",P**2*c0/(P + c1) + P**2*c2*exp(c3*t)/(P + c1) + P*c4*exp(c3*t)/(P + c1) + P**c5*c6*exp(c7*t),1,1,1,1,1,1,1,1,1
BPG2,gpt-5-2,full,1,1,1,1,1,1,1,1,1,6.20144526591e-13,5.09961305647e-13,6.68806147693e-13,0.00138152296813,2.96492127607e-05,0,1,1,1,1,1,0,1,1,logs/llm-srbench/full/gpt-5-2/BPG2.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5,"[0.2569297840348419,0.7218439645638038,0.11492903245505166,-0.030384617610620043,13.87215995290317,13.872158301304145]",P*c0*sin(c1*t) + P*c2*exp(c3*t) + P/sqrt(c5 + t) - P/sqrt(c4 + t),1,1,1,1,1,1,1,1,1
BPG3,gpt-5-2,full,0,0,0,0,1,0,0,0,0,3.11353259747e-12,3.802266016e-12,0.159965127844,0.340709597334,0.390734929637,0,0,0,0,0,0,0,0,0,logs/llm-srbench/full/gpt-5-2/BPG3.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.23256828075893463,-0.7558323807294719,0.08692942117551537,1.1833131292487946,0.8674897334601168,3.1415919357823427,1.0634398831273154e-07,8.263597709358326,1.6494799663372661,-4.0149024545558305]",P**2*c0 + P*c1 + c2*sin(c3*log(P*c4 + 1) + c5) + c6*exp(P*c7)*sin(c8*t + c9),0,0,0,0,0,0,0,0,0
BPG4,gpt-5-2,full,0,0,0,0,0,0,0,0,0,1.88289126684e-11,1.98810509635e-11,1.46495354366e-06,0.0283675724692,0.00191269544401,0,0,1,0,1,1,0,0,1,logs/llm-srbench/full/gpt-5-2/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.0035590625806269684,0.34557368099832675,-0.09991929397454427,0.04246457032201604,0.004818585722094248,0.00802438199647037,1.033140415229788,1.0701636546262765,-0.0012484596743396646]",P**2*c0 + P*c1 + c2/(P**3*c3 + 1)**2 + c4/P + c5*sin(c6 + c7*t)/P**2 + c8/sqrt(P),1,1,1,0,1,1,0,1,1
BPG5,gpt-5-2,full,0,1,1,1,1,1,1,1,1,1.81778236474e-13,1.54327180447e-13,3.078959054e-09,0.0353122992963,0.019591678687,0,0,1,0,0,1,0,0,1,logs/llm-srbench/full/gpt-5-2/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[-0.010946715615197857,1.0419665165441543,-0.01621665552437248,0.007618596934938258,0.28175897801261934,0.006368892663602419,0.17733837919820478]",P**2*c0 + P*c1 + c2 + c3*log(1 + c4*exp(c5*cos(c6*t))/P),1,1,1,1,1,1,1,1,1
BPG6,gpt-5-2,full,0,0,1,1,1,1,1,1,1,1.0334416693e-15,7.58433801051e-15,4.49893774499e-09,0.00660348153936,0.00745071582209,0,1,1,0,1,1,0,1,1,logs/llm-srbench/full/gpt-5-2/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[0.857881827733606,-7.161407598248731,-0.00737225052689002,0.35833503170134223,-0.21368877591617866,0.6020227662764729,1.1528767985604351]",P**(1/3)*c0 + P*c1 + P*c2*exp(P*c3) + c4*sin(c5*log(c6*Abs(P) + 1)) + (P + 1)**(1/4) - 1,1,1,1,1,1,1,1,1,1
BPG7,gpt-5-2,full,1,1,1,1,1,1,1,1,1,3.76868373318e-13,2.61563170374e-13,5.41998326555e-09,0.00596625398785,0.0046374817139,0,1,1,0,1,1,0,1,1,logs/llm-srbench/full/gpt-5-2/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[0.7213553331899133,-0.008011209121334953,0.03437423552921494,0.07408225541167757,-3.3636340312672346e-08,1.6008736281040963,1.0587680828466124]",P**(1/3)*c0 + P**3*c1 + P**2*c2 + P**2*c3 + c4*sin(c5 + c6*t),1,1,1,1,1,1,1,1,1
BPG8,gpt-5-2,full,1,1,1,1,1,1,1,1,1,4.83595708187e-13,5.43115713799e-13,6.75766108996e-09,0.0135989113048,0.0443844767482,0,0,1,0,0,1,0,0,1,logs/llm-srbench/full/gpt-5-2/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5,"[-0.02540164966443051,1.9819016892068482,0.01462324326237976,0.001833398789042151,-0.014622706227393208,-67.76882911936178]",P*(P*c0 + c1) + c2*exp(P*c3) + c4*(P**(1/3)*c5 + 1),1,1,1,1,1,1,1,1,1
BPG9,gpt-5-2,full,0,0,1,1,1,1,1,1,1,7.92241226416e-13,6.16248088144e-13,3.35458711738e-09,0.0168967101036,0.00518752151127,0,0,1,0,1,1,0,0,1,logs/llm-srbench/full/gpt-5-2/BPG9.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.015869633181790188,0.15161849006959824,-12.623254167172671,2.964746503245845,-0.12058366012928695,31.241892650331895,0.36227004035944277,0.0430297681845531]",P**2*(P*c0 + c1) + c2 + c3*exp(P*c4) + c5*log(c6*exp(P*c7) + 1),1,1,1,1,1,1,1,1,1
BPG10,gpt-5-2,full,1,1,1,1,1,1,1,1,1,1.79234363392e-15,2.08133567696e-15,4.08485533428e-14,1.16989974347e-07,1.00655557325e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/full/gpt-5-2/BPG10.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[0.050504050313283845,0.05050405031327218,0.0504877047878672,0.3533817652156738,-0.6666666728408073,2.3502477168205957e-08,0.004163501681003594,1.6527757118193454]",P*c0 + P*c1 + P*c2*(P*c3)**c4 + c5*exp(P*c6)*cos(c7*t),1,1,1,1,1,1,1,1,1
BPG11,gpt-5-2,full,1,1,1,1,1,1,1,1,1,7.74241043067e-14,8.28575157964e-14,7.63064384432e-09,0.000952340298914,1.20870862877e-05,1,1,1,1,1,1,1,1,1,logs/llm-srbench/full/gpt-5-2/BPG11.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[0.712449604404631,-0.01033943728251234,0.7124493513691669,0.7124493648158876,-0.03459335771311177,-2.9834880625428174e-09,4.995843459085028,0.6223425011445932,0.7772586179468314]",P**(1/3)*c0 + P**2*c1 + P*c2 + P*c3*exp(c4*t) + c5*exp(c6*sin(c7*t + c8)),1,1,1,1,1,1,1,1,1
BPG12,gpt-5-2,full,1,1,1,1,1,1,1,1,1,6.86656928473e-13,6.74684798925e-13,1.49557297162e-12,0.000174994845187,0.00056092875733,1,1,1,1,1,1,1,1,1,logs/llm-srbench/full/gpt-5-2/BPG12.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.010666881431561224,0.8770002944936499,0.5671736062194048,8.173468344893148e-09,0.7013915156997571,1.438808010733793e-06,1.8212435880897475,2.4908048209142284]",P**2*c0 + P*c1*sin(c2*t + c3) + P*c4 + c5*sin(P*c6 + c7),1,1,1,1,1,1,1,1,1
BPG13,gpt-5-2,full,0,0,0,0,0,0,0,0,0,6.84314474682e-13,6.80668600322e-13,1.59750399596e-08,0.0157697215665,0.0234580791206,0,0,1,0,0,1,0,0,1,logs/llm-srbench/full/gpt-5-2/BPG13.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.003486231289454873,0.055323515423460805,0.20107344358356366,-0.5653823878401615,0.023191763005211346,0.49517834595428284,3.919561097945845,-0.0029318878302010587,1.6437464220033111,4.817283074576287]",(P**6*(P**2*c0 + P*c1 + c2) + P**c3*c4*sin(c5*t + c6) + c7*sin(c8*t + c9))/P**5,1,1,1,1,1,1,1,1,1
BPG14,gpt-5-2,full,1,1,1,1,1,0,0,0,0,4.05671533991e-14,3.61072299271e-14,1.55735215885e-08,0.000480966566876,2.66148639707e-05,1,1,1,1,1,1,1,1,1,logs/llm-srbench/full/gpt-5-2/BPG14.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.00280698774423563,0.11423819587789938,-0.0836835372210252,-0.003537091550648462,-0.1142389639279886,82.6564198651171,-0.08368368708995622,9.442595221851619,18.885159290149932]",P*(P**2*c0 + P*c1*exp(c2*t) + P*c3 + c4*(P + c5)*exp(P*c6) + c7*exp(c2*t) + c8)/(P + c5),1,1,1,1,1,1,1,1,1
