test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,opus-4-6,full_noise1pct,0,1,1,1,1,1,1,1,1,0.000106,1.05e-07,0.000529,6.39451674066,1.66534872672,0,0,0,0,0,0,0,0,0,logs/llm-srbench-noise1pct/full/opus-4-6/BPG0.txt,,1,full_log_parse,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[-0.0085781,-0.37399,0.66597,37.771,20.632,14.106,37.417]",(P**2*c0*t + P**2*c1 + P*c2*t + P*c3 + c4*t + c5)/(c6 + t),0,0,0,0,0,0,0,0,0
BPG1,opus-4-6,full_noise1pct,0,0,0,0,0,0,0,0,0,0.000268,1.61e-06,0.135,0.0650829330212,0.0353985638745,0,0,1,0,0,1,0,0,1,logs/llm-srbench-noise1pct/full/opus-4-6/BPG1.txt,,0,full_log_parse,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[-0.20636,0.88012,0.58478,-3.1885,0.0030047,0.019626]",P*c0 + P**c1*c2 + c3*sin(P*c4 + c5),0,1,1,0,0,1,0,0,1
BPG2,opus-4-6,full_noise1pct,1,1,1,1,1,1,1,1,1,0.000102,1.76e-07,9.91e-07,0.32873118489,0.230865629995,0,0,0,0,0,0,0,0,0,logs/llm-srbench-noise1pct/full/opus-4-6/BPG2.txt,,1,full_log_parse,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[0.2569,0.72179,0.10988,-0.032069,-0.087961,-0.071012,0.086416]",P*c0*sin(c1*t) + P*c2*exp(c3*t) + c4*exp(P*c5) + c6,0,1,1,0,1,1,0,1,1
BPG3,opus-4-6,full_noise1pct,0,0,0,0,0,0,0,0,0,0.000111,4.39e-06,0.28,0.509261838033,0.519213415373,0,0,0,0,0,0,0,0,0,logs/llm-srbench-noise1pct/full/opus-4-6/BPG3.txt,,0,full_log_parse,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[0.11533,-0.069262,-14.412,-0.83043,0.77703,1.1286,0.27924,-2.9995]",P*c0*(P + c1)*(P*c2 + 1)*(c3*sin(c4*t + c5) + 1) + c6*tanh(P*c7),0,0,0,0,0,0,0,0,0
BPG4,opus-4-6,full_noise1pct,0,0,0,0,0,0,0,0,0,0.000145,1.92e-06,0.382,1.45301985371,0.115215987641,0,0,0,0,0,0,0,0,0,logs/llm-srbench-noise1pct/full/opus-4-6/BPG4.txt,,0,full_log_parse,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[28.843,16.733,2.9416,0.66643,0.91231,3.0132,-25.487,0.081426,0.03008]",(P*c0 + c1*(P + c2)*sin(c3*log(P*c4 + 1) + c5) + c6*(P + c2)*log(c7*exp(P*c8) + 1))/(P + c2),0,0,1,0,0,0,0,0,0
BPG5,opus-4-6,full_noise1pct,0,0,1,1,1,0,0,0,0,9.71e-05,1.66e-06,9.43e-06,359.240780645,124.05688621,0,0,0,0,0,0,0,0,0,logs/llm-srbench-noise1pct/full/opus-4-6/BPG5.txt,,1,full_log_parse,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[0.40297,3.1165,0.0035203,2.9362,0.024336,0.21074,2.6835]",P*c0 + P*c1*sin(P*c2 + c3) + c4*sin(P*c5 + c6),0,0,0,0,0,0,0,0,0
BPG6,opus-4-6,full_noise1pct,0,0,0,1,1,0,0,0,1,5.79e-05,3.06e-05,2.57,166.455385552,81.8315435771,0,0,0,0,0,0,0,0,0,logs/llm-srbench-noise1pct/full/opus-4-6/BPG6.txt,,1,full_log_parse,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[-0.0018344,28.218,36.257,-0.79249,-420.27,17.736]",(P*c0*(c1*t + c2) + (P + c3)*(P*c4 + c5))/((P + c3)*(c1*t + c2)),0,0,0,0,0,0,0,0,0
BPG7,opus-4-6,full_noise1pct,0,0,0,1,1,0,1,1,1,9.52e-05,3.1e-06,0.000167,25.4772016017,108.61645124,0,0,0,0,0,0,0,0,0,logs/llm-srbench-noise1pct/full/opus-4-6/BPG7.txt,,1,full_log_parse,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[23.149,-114.28,-4.9368,-0.10819,-1.1374,25.348,0.12418,5.1774]",(c0*t + c1 + (c2 + t)*(P*(P*c3 + c4) + c5*sin(P*c6 + c7)))/(c2 + t),0,0,0,0,0,0,0,0,0
BPG8,opus-4-6,full_noise1pct,0,0,0,1,1,1,1,1,1,9.14e-05,7.44e-06,0.000151,31.5060601007,71.618894699,0,0,0,0,0,0,0,0,0,logs/llm-srbench-noise1pct/full/opus-4-6/BPG8.txt,,1,full_log_parse,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[2.1196,2.7479,-7.6599,1.9614,-0.031524,2.8426,-7.9341]",(P*c0*(c1*t + c2) + P**c3*c4*(c1*t + c2) + c5*t + c6)/(c1*t + c2),0,0,0,0,0,0,0,0,0
BPG9,opus-4-6,full_noise1pct,0,0,0,0,0,0,0,0,0,9.08e-05,1.96e-06,1.99e-06,58805.1924133,8326.13403891,0,0,0,0,0,0,0,0,0,logs/llm-srbench-noise1pct/full/opus-4-6/BPG9.txt,,0,full_log_parse,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[1.9723,-484.26,26518.0,-13666.0,-6.7533,4.5164,-0.042091,-157610.0]",(P**3*c0 + P**2*c1 + P*c2 + c3*(P + c4)*log(c5*exp(P*c6) + 1) + c7)/(P + c4),0,0,0,0,0,0,0,0,0
