test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,opus-4-6,full,1,1,1,1,1,1,1,1,1,1.53717798279e-13,1.31827833518e-13,1.5270682299e-09,0.0164390933755,0.00740834851764,0,0,1,0,1,1,0,0,1,logs/llm-srbench/full/opus-4-6/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[-0.009844471114217023,0.9539967822352402,2.7196849413320348e-08,0.33333376293237504,0.9540000802516647,1.3223239120142128e-08,-2.762668401969645e-06]",P**2*c0 + P*c1 + P*c2*t + P**c3*c4*t**c5 + c6*t,1,1,1,1,1,1,1,1,1
BPG1,opus-4-6,full,1,1,1,1,1,1,1,1,1,5.15982900568e-15,5.29075199834e-15,6.4843820104e-13,1.73207508228e-07,1.12536593242e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/full/opus-4-6/BPG1.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[0.03197349542990349,0.31560571295156803,-0.05405074970956138,-0.03195042706097788,9.863436833714093,8.463950951125547e-08,1.0004903094134134,1.0363824722193757,3.1886426963418213]",P*c0 + P*c1*exp(c2*t) + P*c3/(P*c4 + 1) + c5*sin(P**c6*c7 + c8),1,1,1,1,1,1,1,1,1
BPG2,opus-4-6,full,1,1,1,1,1,1,1,1,1,6.20146087826e-13,5.09916031226e-13,6.68829695003e-13,0.0013808587342,2.94332892047e-05,0,1,1,1,1,1,0,1,1,logs/llm-srbench/full/opus-4-6/BPG2.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5,"[0.0687166909055796,0.0687166906464935,3.7389720257113535,0.721843964565577,0.11492904140221953,-0.03038461817959455]",P*(c0 + c1*(c2*sin(c3*t) - 1) + c4*exp(c5*t)),1,1,1,1,1,1,1,1,1
BPG3,opus-4-6,full,0,0,0,1,1,0,0,0,0,3.14139125997e-12,4.4173243971e-12,0.280460974586,0.509261838033,0.519213415373,0,0,0,0,0,0,0,0,0,logs/llm-srbench/full/opus-4-6/BPG3.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4,"[-1.0259136887227092,0.1808315611459536,-0.40926637020913054,2.4978191188435392,0.13836743608332733]",P*(c0 + c1*exp(P*c2) + c3*log(P*c4 + 1)),0,0,0,0,0,0,0,0,0
BPG4,opus-4-6,full,0,0,0,0,0,0,0,0,0,1.74752003139e-12,1.64238149658e-12,5.75336966159e-07,0.00998143578279,0.00114631096465,0,1,1,0,1,1,0,1,1,logs/llm-srbench/full/opus-4-6/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.003559046138741365,0.34557130009025444,-0.06448430912595567,-0.004153143086102189,3.8809959419249425,-0.0395060052675366,1.6840433030531698,-0.2197932112764676,1.33067225627999]",P**2*c0 + P*c1 + c2*exp(c3*t**c4) + c5*exp(P**c6*c7) + (P + c8)**(-5),1,1,1,1,1,1,1,1,1
BPG5,opus-4-6,full,0,1,1,1,1,1,1,1,1,1.82058004377e-13,1.53448695808e-13,3.06389523942e-09,0.0368175355468,0.0200413833867,0,0,1,0,0,1,0,0,1,logs/llm-srbench/full/opus-4-6/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[-0.010946715457686235,1.041966483486586,-0.8556281645733494,-0.0007604279368036302,-0.016213807042822628,-0.9586286782269011,-0.17910026540853058]",P**2*c0 + P*c1 + P**c2*c3 + c4*exp(P**c5*c6),1,1,1,1,1,1,1,1,1
BPG6,opus-4-6,full,0,0,1,1,1,1,1,1,1,1.23895163564e-15,7.80298290364e-15,4.49673856085e-09,0.00657848886476,0.00742576133916,0,1,1,0,1,1,0,1,1,logs/llm-srbench/full/opus-4-6/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-8.609016595847296,0.0006915746654974153,2.2917600260938453,0.33432587259540025,0.8648762513441818,35.8753342063264,35.87517505245413,0.2933000954779528,4.711585174968457]",P*c0 + P*c1/(P*c2 + 1) + P**c3*c4 + c5 + c6*sin(sqrt(P)*c7 + c8),1,1,1,1,1,1,1,1,1
BPG7,opus-4-6,full,1,1,1,1,1,1,1,1,1,3.76703071001e-13,2.59528501107e-13,5.40658414137e-09,0.00600438816674,0.00464540232815,0,1,1,0,1,1,0,1,1,logs/llm-srbench/full/opus-4-6/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6,"[0.7213553532619313,-0.008011209073353832,0.10845648992868068,5.671865716511888e-10,-4.999925978155187,0.35706304225952934,5.531341370881694]",P**(1/3)*c0 + P**3*c1 + P**2*c2 + c3*exp(c4*sin(c5*t + c6)),1,1,1,1,1,1,1,1,1
BPG8,opus-4-6,full,1,1,1,1,1,1,1,1,1,4.83020064699e-13,5.41705554276e-13,6.73467549364e-09,0.0144794239701,0.0446776311169,0,0,1,0,0,1,0,0,1,logs/llm-srbench/full/opus-4-6/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5,"[0.9909643943848419,-0.025401622719459394,-3.577578986075217e-11,0.5010097215827358,4.324648409526306,1.9819283779702597]",P**(1/3)*c0 + P**2*c1 + P**2*c2*sin(c3*t + c4) + P*c5,1,1,1,1,1,1,1,1,1
BPG9,opus-4-6,full,0,1,1,1,1,1,1,1,1,7.92233893204e-13,6.16383948504e-13,3.35463128091e-09,0.0168994042318,0.00518787565172,0,0,1,0,1,1,0,0,1,logs/llm-srbench/full/opus-4-6/BPG9.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-0.01581852974862667,0.059119149918345604,1.67467187024619,-7.508360575115812,5.793910199908843,5.88061028682053,0.9398590024374541,0.22499415798884437,1.30029507290591,-32.832816633939466]",(P**4*c0 + P**3*c1 + P**2*c2 + P*c3 + c4*(P + c5)*sin(c6*log(P*c7 + 1) + c8) + c9)/(P + c5),1,1,1,1,1,1,1,1,1
BPG10,opus-4-6,full,1,1,1,1,1,1,1,1,1,1.79006186052e-15,2.0689830513e-15,4.00762339219e-14,8.7720052554e-08,1.01766237967e-07,1,1,1,1,1,1,1,1,1,logs/llm-srbench/full/opus-4-6/BPG10.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[0.05050405032708134,0.2606498364918376,4.145260865482024,-0.6666666749382638,-4.0123452281059893e-10,3.7089000862154684,1.6734201273344318,0.05050405032746491]",P*c0 + P*c1*(P*c2)**c3 + P*c4*sin(c5 + c6*t) + P*c7,1,1,1,1,1,1,1,1,1
BPG11,opus-4-6,full,1,1,1,1,1,1,1,1,1,7.74148765839e-14,8.31768670558e-14,7.64445956753e-09,0.00101063443084,1.22010414726e-05,0,1,1,1,1,1,0,1,1,logs/llm-srbench/full/opus-4-6/BPG11.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[0.7124493880603749,-0.010339437380127622,0.7124493700534653,0.7124493674250623,-0.03459335780996213,1.9617769009238552e-07,1.4233072776194724,4.853777239550018]",P**(1/3)*c0 + P**2*c1 + P*c2 + P*c3*exp(c4*t) + c5*sin(P*c6 + c7),1,1,1,1,1,1,1,1,1
