test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,gpt-5-2,lbfgs,0,1,1,1,1,0,1,1,1,4.99779945525e-08,6.18292958714e-08,1.76563083288e-05,0.939596842341,0.509624030092,0,0,0,0,0,0,0,0,0,logs/llm-srbench/lbfgs/gpt-5-2/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.009876552464413163,-0.03139822644777166,0.6293475699259782,3.3547134277350783,4.9999834731799355,12.453423191727559,1.019953283510538e-06,-0.38086847925542705]",P**2*c0 + P*c1 + P + c2*log(P*c3 + c4) + c5*log(c6*t + 1) + c7,0,0,1,0,0,1,0,0,1
BPG1,gpt-5-2,lbfgs,0,0,0,1,1,0,0,0,0,6.70938459722e-08,6.82411437013e-08,0.00168381671644,0.00419391626538,0.00374813446377,0,1,1,0,1,1,0,1,1,logs/llm-srbench/lbfgs/gpt-5-2/BPG1.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[0.021810635127666258,0.07189588743169165,7.608523574373876,0.018490488509616532,0.09109241862040389,2.2428707115576327,1.0000000000342038e-06,0.8143542289018775,4.999999999999999,-0.023859718393497716]",P*c0 + c1*t + c2*log(P*c3 + 1) + c4*exp(c5*cos(c6*t + c7*log(P*c8 + 1))) + c9/P**5,0,1,1,0,1,1,0,1,1
BPG2,gpt-5-2,lbfgs,0,0,0,1,1,0,0,0,0,6.16092082649e-08,6.73776845432e-08,3.28769159626e-08,0.868783100125,0.00136592994061,0,0,0,0,1,1,0,0,0,logs/llm-srbench/lbfgs/gpt-5-2/BPG2.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[0.16807089611151313,-0.030244371820713288,4.999999999999999,-0.25720880708740296,-1.1102170627814066e-06,0.721845020023725,3.099672895732984,0.0060514863907279405]",P*c0 + P*c1*log(P*c2 + 1) + P*c3*exp(c4*t)*sin(c5*t + c6) + c7,0,1,1,1,1,1,0,1,1
BPG3,gpt-5-2,lbfgs,0,0,0,0,0,0,0,0,0,9.7050679827e-12,1.07702091112e-11,0.228580028749,0.461720559977,0.471672137316,0,0,0,0,0,0,0,0,0,logs/llm-srbench/lbfgs/gpt-5-2/BPG3.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[-0.008545396796722433,0.2714900835759732,-1.5558944291478254,-4.1472177622748845,0.0019743999892322685,0.7190154609642387,4.7541278056619015e-08]","P**3*c0 + P**2*c1 + P*c2 + c3*log(P*c4 + 1) + c5*Max(0, P) + c6",0,0,0,0,0,0,0,0,0
BPG4,gpt-5-2,lbfgs,0,0,0,0,0,0,0,0,0,4.36400026426e-07,4.77200900241e-07,0.320194317812,6.15721985302,0.461645683835,0,0,0,0,0,0,0,0,0,logs/llm-srbench/lbfgs/gpt-5-2/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.0035572,0.64391,-0.2986,-2.7703,-0.70312,0.63683,3.9165,-2.7024,0.0085499]",P**2*c0 + P*c1 + P*c2 + P**c3*c4*log(P*c5 + 1) + c6*exp(P*c7) + c8,0,0,0,0,0,0,0,0,0
BPG5,gpt-5-2,lbfgs,1,1,1,1,1,1,1,1,1,2.71750755148e-10,1.69677715745e-10,5.67125746239e-09,0.132225489251,0.0199006843906,0,0,0,0,0,1,0,0,0,logs/llm-srbench/lbfgs/gpt-5-2/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5,"[-0.011818030264811848,1.016926246867769,61.56442372229613,1.4171596056258479e-05,0.0249761843852124,-0.015202691261039817]",P**2*c0 + P*c1 + P*c2*log(P*c3 + 1) + P*c4 + c5,1,1,1,1,1,1,1,1,1
BPG6,gpt-5-2,lbfgs,0,0,0,1,1,1,0,1,0,1.24231460879e-15,6.58326209519e-15,4.49728650815e-09,0.00657102117317,0.0074181386185,0,1,1,0,1,1,0,1,1,logs/llm-srbench/lbfgs/gpt-5-2/BPG6.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-3.6863051140532224,4.5441875201384425,-0.010831438820030008,-7.067098261791314,-0.05501052186746001,2.2485350100610727e-06,0.18476060430199778,0.3335964392009496]",P**(1/3)*c0 + P**(1/3)*c1 + P**2*c2 + P*c3 + c4*log(c5*sin(P*c6 + c7) + 1),1,1,1,1,1,1,1,1,1
BPG7,gpt-5-2,lbfgs,0,0,0,1,1,0,0,1,0,2.560545697e-09,1.96194444719e-09,1.17647356127e-07,0.0572127652135,0.317284757761,0,0,1,0,0,0,0,0,0,logs/llm-srbench/lbfgs/gpt-5-2/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.007971264827773536,5.199454693831527,4.10276057715626,-1.1611254424735897,-0.6137912885281359,1.5559453759817432,2.5609778248984827,0.34333979089439304]",P**3*c0 + P**3*c1/(P*c2 + 1) + P**2*c3 + P*c4 + P + P/(P*c5 + c6) + c7,0,1,1,0,1,1,0,1,1
BPG8,gpt-5-2,lbfgs,0,0,0,1,1,0,0,0,0,7.63560628711e-08,1.48913374725e-07,1.56488257306e-05,0.359819646067,1.49264579391,0,0,0,0,0,0,0,0,0,logs/llm-srbench/lbfgs/gpt-5-2/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.025504955302051945,2.013800093757057,1.7682448502647155,6.0944900127694845,0.7381545414549444,1.5202870207803703,0.14799386304901327,2.8493714076522322e-06]",P**2*c0 + P*c1 + P*c2/(P + c3) + c4 + c5*log(P*c6 + 1)*log(c7*t + 1),0,0,1,0,0,1,0,0,1
BPG9,gpt-5-2,lbfgs,0,0,0,0,0,0,0,0,0,3.02409169818e-12,3.45434802246e-12,3.53346060577e-09,0.0209777578279,0.00571311294858,0,0,1,0,1,1,0,0,1,logs/llm-srbench/lbfgs/gpt-5-2/BPG9.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7,"[0.22607998863480983,17.924085078753137,2.3864430817903264,-2.3786400645155483,-0.32525166118266724,3.165463602789441,7.684175847430992,-7.68977210424751]",P**(11/5)*c0/(P**(1/5) + c1) + P**(1/5)*c2/(P**(1/5) + c1) + P**(1/5)*c3/(P**(1/5) + c1) + P**3*c4/(P**(1/5) + c1) + P**2*c5/(P**(1/5) + c1) + c6/(P**(1/5) + c1) + c7/(P**(1/5) + c1),1,1,1,1,1,1,1,1,1
