test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,opus-4-6,lbfgs,1,1,1,1,1,1,1,1,1,5.10909473102e-08,6.31947701456e-08,1.79482708547e-05,0.955715852479,0.513953042877,0,0,0,0,0,0,0,0,0,logs/llm-srbench/lbfgs/opus-4-6/BPG0.txt,,1,high_precision_refit_from_existing_params,SA=1: min train_nmse among matching logs,c0;c1;c2;c3;c4;c5;c6;c7,"[-0.009876969895741423,0.968781202211583,-15.834391313928768,0.03997089570956845,0.664192089504692,3.1815885499544394,12.647480674947337,1.0167823634514286e-06]",P**2*c0 + P*c1 + c2*sin(c3*log(P*c4 + 1) + c5) + c6*log(c7*t + 1),0,0,1,0,0,1,0,0,1
BPG1,opus-4-6,lbfgs,0,0,0,0,0,0,0,0,0,2.05100106258e-08,2.17855110652e-08,0.000138506563875,0.0343726681641,0.0011243466653,0,0,1,0,1,1,0,0,1,logs/llm-srbench/lbfgs/opus-4-6/BPG1.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[0.027603974417072477,-0.026921884022616485,-2.8601918553211383,0.08401900930492089,7.34195355996724,0.010280947330241487,3.0872927053604564]",P*c0 + P**c1*c2*cos(c3*t) + c4*log(P*c5 + 1) + c6,0,1,1,0,1,1,0,1,1
BPG2,opus-4-6,lbfgs,0,0,0,1,1,0,0,0,0,2.66269826925e-07,2.85187276973e-07,5.91121214093e-07,0.81000022807,0.1562096477,0,0,0,0,0,0,0,0,0,logs/llm-srbench/lbfgs/opus-4-6/BPG2.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8,"[-0.043291,9.5278,-5.3736,0.99997,0.25722,0.72185,6.2413,0.99422,5.4982]",P*c0/(P + c1) + P*c2 + P**c3*c4*sin(c5*t + c6) + P**c7*c8,0,1,1,0,1,1,0,1,1
BPG3,opus-4-6,lbfgs,0,0,0,0,0,0,0,0,0,8.61286677528e-12,9.49421779248e-12,0.251548530481,0.413935828869,0.305282625337,0,0,0,0,0,0,0,0,0,logs/llm-srbench/lbfgs/opus-4-6/BPG3.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[-0.008542716590291603,0.2714940084192015,-0.8450654781187624,6.695436532958893e-08,0.4257345221407569,10.999999998899979,-1.4759510981963458e-06]",P**3*c0 + P**2*c1 + P*c2 + c3*t/(P*c4 + c5) + c6/(P*c4 + c5),0,0,0,0,0,0,0,0,0
BPG4,opus-4-6,lbfgs,0,0,0,0,0,0,0,0,0,1.67595741136e-07,1.84635575051e-07,0.286222793341,5.81456561585,0.436357173459,0,0,0,0,0,0,0,0,0,logs/llm-srbench/lbfgs/opus-4-6/BPG4.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[-0.0035591,0.34558,-4.4485,-1.0927,0.071029,0.019959]",P**2*c0 + P*c1 + c2*exp(P*c3)*log(P*c4 + 1) + c5/P,0,0,0,0,0,0,0,0,0
BPG5,opus-4-6,lbfgs,0,0,1,1,1,0,0,0,1,4.15852363597e-10,2.68089850503e-10,1.6401096542e-08,0.233552275498,0.106422287273,0,0,0,0,0,0,0,0,0,logs/llm-srbench/lbfgs/opus-4-6/BPG5.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[-0.010946507049968442,1.0419383267573183,-4.14307153009827,5.114705542684994,1.3919967379049907e-05,0.00019994947482700366,0.9390901596872615]",P**2*c0 + P*c1 + c2 + c3*sin(c4*log(P*c5 + 1) + c6),0,1,1,0,1,1,0,1,1
BPG6,opus-4-6,lbfgs,0,0,0,1,1,0,0,1,0,1.01473872408e-10,4.04019745471e-10,1.89331238753e-06,0.105841282183,0.107533908666,0,0,0,0,0,0,0,0,0,logs/llm-srbench/lbfgs/opus-4-6/BPG6.txt,,?,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6;c7;c8;c9,"[-5.272663447837821,-2.0977811269392017,1.327548972243525,0.03756868235531283,1.4115463834104571,-1.8014487845244458,-1.9413284478097521,0.9030809200005334,0.708667195011849,1.0314392564415715]",P*c0 + P*c1*log(P*c2 + 1) + P**c3*c4*exp(P*c5) + c6 + c7*exp(P**c8*c9),0,0,1,0,0,1,0,0,1
BPG7,opus-4-6,lbfgs,0,0,0,1,1,1,0,1,1,5.2080116167e-07,3.6317823218e-07,1.63026551357e-05,0.683980658822,3.62921752688,0,0,0,0,0,0,0,0,0,logs/llm-srbench/lbfgs/opus-4-6/BPG7.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[-0.08710226785988798,-0.7624474920892492,-2.052496435842842,0.0871982921101358,3.6720191846130987,0.4896729107823586]",P**2*c0 + P*c1 + P*c2*sin(P*c3 + c4) + c5,0,0,1,0,0,1,0,0,1
BPG8,opus-4-6,lbfgs,0,1,1,1,1,1,1,1,1,3.97094851648e-11,5.55200525652e-11,7.11288208288e-08,0.043498813139,0.156346678334,0,0,1,0,0,0,0,0,0,logs/llm-srbench/lbfgs/opus-4-6/BPG8.txt,,1,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5;c6,"[-0.025400993529588675,1.9818336922341504,-6.175281347284512,1.7053174983106337e-05,-0.004496345917959898,4.99999999976765,0.04820941795958314]",P**(1/3) + P**2*c0 + P*c1 + c2*log(P*c3 + 1) + c4*log(P*c5 + c6*t + 1),0,1,1,0,1,1,0,1,1
BPG9,opus-4-6,lbfgs,0,0,0,0,0,0,0,0,0,8.58865350851e-10,1.07742660409e-09,2.97288462348e-08,0.0810542661237,0.0134264258987,0,0,1,0,0,1,0,0,1,logs/llm-srbench/lbfgs/opus-4-6/BPG9.txt,,0,high_precision_refit_from_existing_params,SA=0: min train_nmse among all candidates,c0;c1;c2;c3;c4;c5,"[-0.3428592105804561,0.01633622395459909,20.860922622915677,3.7189055207721036,0.02221095413148848,-0.0006896478604830277]",P**3*c0/(P*c1 + c2) + P**2*c3/(P*c1 + c2) + P*c4/(P*c1 + c2) + c5,0,1,1,0,1,1,0,1,1
