test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,opus-4-6,llmsr,0,0,1,1,1,,,,,4.21372047651e-07,5.24118154564e-07,0.000173821757487,1.16105383164,0.531074397884,0,0,0,0,0,0,0,0,0,baseline/llm-srbench/logs/bio_pop_growth/Llmsr-opus-4-6/04-16-2026_11-12-00-760529/results.jsonl,546,,llmsr_cached_best_params,single llmsr best program in results.jsonl,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7];params[8],"[1.2790420324474436,0.9234267354395151,4.611710450631602,1.1294393620751566,0.20921239070206604,0.7232008218016135,5.862265989116101e-06,-2.620910534524497,5.624461377406015]","def equation(t: np.ndarray, P: np.ndarray, params: np.ndarray) -> np.ndarray:     """""" Mathematical function for Population growth rate      Args:         t: A numpy array representing observations of Time.         P: A numpy array representing observations of Population at time t.         params: Array of numeric constants or parameters to be optimized      Return:         A numpy array representing Population growth rate as the result of applying the mathematical function to the inputs.     """"""",0,0,1,0,0,1,0,0,1
BPG1,opus-4-6,llmsr,0,0,0,0,0,,,,,1.44138801724e-07,1.44419894645e-07,0.00276894012595,0.0450207937229,0.00456616474912,0,0,1,0,1,1,0,0,1,baseline/llm-srbench/logs/bio_pop_growth/Llmsr-opus-4-6/04-16-2026_11-12-00-760529/results.jsonl,626,,llmsr_cached_best_params,single llmsr best program in results.jsonl,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7];params[8];params[9],"[5002.0133965546165,-769.1367466233673,331.3272280997683,0.04004139409748825,3538.7531841663317,3537.434406831497,0.039719123124493425,0.4068284531545446,1.0,1.0]","def equation(t: np.ndarray, P: np.ndarray, params: np.ndarray) -> np.ndarray:     """""" Mathematical function for Population growth rate      Args:         t: A numpy array representing observations of Time.         P: A numpy array representing observations of Population at time t.         params: Array of numeric constants or parameters to be optimized      Return:         A numpy array representing Population growth rate as the result of applying the mathematical function to the inputs.     """"""",0,1,1,0,1,1,0,1,1
BPG2,opus-4-6,llmsr,0,0,0,0,0,,,,,6.15413780111e-08,6.74478475046e-08,3.5063827976e-08,0.872879427397,0.0022677588325,0,0,0,0,1,1,0,0,0,baseline/llm-srbench/logs/bio_pop_growth/Llmsr-opus-4-6/04-16-2026_11-12-00-760529/results.jsonl,490,,llmsr_cached_best_params,single llmsr best program in results.jsonl,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7];params[8],"[0.10075792849728854,0.03024477871160355,1.8519363708454237,0.00117894297850689,1.7284990121744273,3.41199746423061e-05,0.7218447393819613,-12.608279392332864,0.25719476929399565]","def equation(t: np.ndarray, P: np.ndarray, params: np.ndarray) -> np.ndarray:     """""" Mathematical function for Population growth rate      Args:         t: A numpy array representing observations of Time.         P: A numpy array representing observations of Population at time t.         params: Array of numeric constants or parameters to be optimized      Return:         A numpy array representing Population growth rate as the result of applying the mathematical function to the inputs.     """"""",0,1,1,1,1,1,0,1,1
BPG3,opus-4-6,llmsr,0,0,0,0,0,,,,,7.72244730791e-09,6.32801351511e-09,0.654392272529,0.903505288943,0.348563174059,0,0,0,0,0,0,0,0,0,baseline/llm-srbench/logs/bio_pop_growth/Llmsr-opus-4-6/04-16-2026_11-12-00-760529/results.jsonl,518,,llmsr_cached_best_params,single llmsr best program in results.jsonl,params[0];params[1];params[2];params[3];params[4];params[5],"[-0.849007532894659,0.2818131720557956,-1.25293487113678e-06,-0.026606485496302668,2.489439649037513e-08,0.000704180017215958]","def equation(t: np.ndarray, P: np.ndarray, params: np.ndarray) -> np.ndarray:     """""" Mathematical function for Population growth rate      Args:         t: A numpy array representing observations of Time.         P: A numpy array representing observations of Population at time t.         params: Array of numeric constants or parameters to be optimized      Return:         A numpy array representing Population growth rate as the result of applying the mathematical function to the inputs.     """"""",0,0,0,0,0,0,0,0,0
BPG4,opus-4-6,llmsr,0,0,0,0,0,,,,,1.09359278546e-05,9.79782483589e-07,0.35680299661,19.7580260151,5.6601267782,0,0,0,0,0,0,0,0,0,baseline/llm-srbench/logs/bio_pop_growth/Llmsr-opus-4-6/04-16-2026_11-12-00-760529/results.jsonl,688,,llmsr_cached_best_params,single llmsr best program in results.jsonl,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7];params[8];params[9],"[5.495629432579881,97.9388926509124,-0.0013634121084622444,-0.12431346330397658,-31.83374982803829,157.95692892142193,-0.2686837944098536,-0.0010833030663004108,1.6925540697883328,27.525899075998314]","def equation(t: np.ndarray, P: np.ndarray, params: np.ndarray) -> np.ndarray:     """""" Mathematical function for Population growth rate      Args:         t: A numpy array representing observations of Time.         P: A numpy array representing observations of Population at time t.         params: Array of numeric constants or parameters to be optimized      Return:         A numpy array representing Population growth rate as the result of applying the mathematical function to the inputs.     """"""",0,0,0,0,0,0,0,0,0
BPG5,opus-4-6,llmsr,1,1,1,1,1,,,,,2.63308427864e-10,1.2352513737e-11,4.2063292813e-08,0.0625607194209,0.0804533311132,0,0,1,0,0,1,0,0,1,baseline/llm-srbench/logs/bio_pop_growth/Llmsr-opus-4-6/04-16-2026_11-12-00-760529/results.jsonl,902,,llmsr_cached_best_params,single llmsr best program in results.jsonl,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7],"[0.0052433443153856035,0.4790018547114853,94.70526893776837,-0.0001229039870190166,0.48146361280211797,-1.1416355850917334e-07,1.1180202743779724,3.8606293403824776]","def equation(t: np.ndarray, P: np.ndarray, params: np.ndarray) -> np.ndarray:     """""" Mathematical function for Population growth rate      Args:         t: A numpy array representing observations of Time.         P: A numpy array representing observations of Population at time t.         params: Array of numeric constants or parameters to be optimized      Return:         A numpy array representing Population growth rate as the result of applying the mathematical function to the inputs.     """"""",0,1,1,0,1,1,0,1,1
BPG6,opus-4-6,llmsr,0,0,0,1,1,,,,,5.6690349595e-07,5.65479271188e-10,3.46637181065e-05,40.943314324,27.8982697701,0,0,0,0,0,0,0,0,0,baseline/llm-srbench/logs/bio_pop_growth/Llmsr-opus-4-6/04-16-2026_11-12-00-760529/results.jsonl,933,,llmsr_cached_best_params,single llmsr best program in results.jsonl,params[0];params[1];params[2];params[3];params[4];params[5],"[4.50318405263046,-0.04456022052096886,-0.6454530327560725,-0.6134727143960351,2.507804034804617,1.2365445337329768e-06]","def equation(t: np.ndarray, P: np.ndarray, params: np.ndarray) -> np.ndarray:     """""" Mathematical function for Population growth rate      Args:         t: A numpy array representing observations of Time.         P: A numpy array representing observations of Population at time t.         params: Array of numeric constants or parameters to be optimized      Return:         A numpy array representing Population growth rate as the result of applying the mathematical function to the inputs.     """"""",0,0,0,0,0,0,0,0,0
BPG7,opus-4-6,llmsr,0,0,0,0,0,,,,,1.13825984704e-06,7.43891430748e-07,2.11174849845e-05,0.848970474757,4.46342080554,0,0,0,0,0,0,0,0,0,baseline/llm-srbench/logs/bio_pop_growth/Llmsr-opus-4-6/04-16-2026_11-12-00-760529/results.jsonl,821,,llmsr_cached_best_params,single llmsr best program in results.jsonl,params[0];params[1];params[2];params[3];params[4];params[5],"[0.2545160585637031,14.297329024021156,1.459971279770401,0.5082106849298488,28.53049462894443,93.8523194425948]","def equation(t: np.ndarray, P: np.ndarray, params: np.ndarray) -> np.ndarray:     """""" Mathematical function for Population growth rate      Args:         t: A numpy array representing observations of Time.         P: A numpy array representing observations of Population at time t.         params: Array of numeric constants or parameters to be optimized      Return:         A numpy array representing Population growth rate as the result of applying the mathematical function to the inputs.     """"""",0,0,1,0,0,1,0,0,1
BPG8,opus-4-6,llmsr,0,1,1,1,1,,,,,9.85569467324e-05,3.19986812279e-07,0.000228758349888,16.5703914849,71.3065831456,0,0,0,0,0,0,0,0,0,baseline/llm-srbench/logs/bio_pop_growth/Llmsr-opus-4-6/04-16-2026_11-12-00-760529/results.jsonl,567,,llmsr_cached_best_params,single llmsr best program in results.jsonl,params[0];params[1];params[2];params[3];params[4];params[5],"[1.9212171720136828,0.012653605946791085,2.20763416787011,-0.0005056036801814162,1.2896178708806814,0.2899817532165312]","def equation(t: np.ndarray, P: np.ndarray, params: np.ndarray) -> np.ndarray:     """""" Mathematical function for Population growth rate      Args:         t: A numpy array representing observations of Time.         P: A numpy array representing observations of Population at time t.         params: Array of numeric constants or parameters to be optimized      Return:         A numpy array representing Population growth rate as the result of applying the mathematical function to the inputs.     """"""",0,0,0,0,0,0,0,0,0
BPG9,opus-4-6,llmsr,0,0,0,0,0,,,,,2.85024506859e-10,5.9570798533e-11,3.58258522998e-09,0.045187617622,0.0116050926353,0,0,1,0,0,1,0,0,1,baseline/llm-srbench/logs/bio_pop_growth/Llmsr-opus-4-6/04-16-2026_11-12-00-760529/results.jsonl,58,,llmsr_cached_best_params,single llmsr best program in results.jsonl,params[0];params[1];params[2];params[3];params[4],"[0.17951961443750158,10.852292249402689,0.9766645599661433,2.003903124054347,0.00011281982859230827]","def equation(t: np.ndarray, P: np.ndarray, params: np.ndarray) -> np.ndarray:     """""" Mathematical function for Population growth rate      Args:         t: A numpy array representing observations of Time.         P: A numpy array representing observations of Population at time t.         params: Array of numeric constants or parameters to be optimized      Return:         A numpy array representing Population growth rate as the result of applying the mathematical function to the inputs.     """"""",0,1,1,0,1,1,0,1,1
