test_case,model,task,SA@1,SA@5,SA@10,SA@50,SA@All,pareto_occam@5,mdl@5,pareto_occam@10,mdl@10,train_nmse,test_nmse,ood_nmse,test_max_rel_error,ood_max_rel_error,test_Acc0.001,test_Acc0.01,test_Acc0.1,ood_Acc0.001,ood_Acc0.01,ood_Acc0.1,both_Acc0.001,both_Acc0.01,both_Acc0.1,source_file,candidate_index,source_status,metric_status,selection_rule,param_names,best_params_json,preview,test_95pctAcc0.001,test_95pctAcc0.01,test_95pctAcc0.1,ood_95pctAcc0.001,ood_95pctAcc0.01,ood_95pctAcc0.1,both_95pctAcc0.001,both_95pctAcc0.01,both_95pctAcc0.1
BPG0,opus-4-6,openevolve,0,0,0,1,1,,,,,9.70177727936e-07,1.08436804955e-06,8.3145704046e-05,3.29713123404,1.04292872369,0,0,0,0,0,0,0,0,0,baseline/openevolve/examples/symbolic_regression/problems/bio_pop_growth/BPG0/openevolve_output/best/best_program.py,,0,openevolve_cached_best_params,single openevolve best_program.py,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7];params[8];params[9],"[1.2392552109511847,-0.19273728062404227,-0.009742086027946515,-0.02791333080928768,5.680332001448734e-08,2.082314136426691,1.661367470105647,1.2970530149511215,0.18938343384143044,-1.5628727284830227e-06]",,0,0,0,0,0,1,0,0,0
BPG1,opus-4-6,openevolve,0,0,0,1,1,,,,,3.79435218342e-05,3.92355877724e-05,0.00283180975273,0.343137238012,0.00329075313316,0,0,0,0,1,1,0,0,0,baseline/openevolve/examples/symbolic_regression/problems/bio_pop_growth/BPG1/openevolve_output/best/best_program.py,,0,openevolve_cached_best_params,single openevolve best_program.py,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7];params[8];params[9],"[0.17734082496362158,-0.5365367174250361,2.6598472460033717e-05,1.0589660250469985,-0.0018134199835546255,0.2959743993420533,0.6788622644331436,0.1528418833756238,-0.8239821466024944,-0.3496401317788407]",,0,0,1,0,1,1,0,0,1
BPG2,opus-4-6,openevolve,0,0,0,0,0,,,,,4.95918212833e-08,5.00280628119e-08,5.4014023635e-08,0.685198938087,0.00984082468978,0,0,0,0,1,1,0,0,0,baseline/openevolve/examples/symbolic_regression/problems/bio_pop_growth/BPG2/openevolve_output/best/best_program.py,,0,openevolve_cached_best_params,single openevolve best_program.py,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7];params[8];params[9],"[2.9086542844851155e-05,0.11952294895759633,4.673242537651249e-06,-0.03031993486248026,0.257197645397083,0.72083629770041,-0.010813657375974117,1.506615788597068e-06,-3.595107018266846e-05,0.00026008673518714237]",,0,1,1,1,1,1,0,1,1
BPG3,opus-4-6,openevolve,0,0,0,0,0,,,,,1.17015783744e-05,1.39248911752e-05,15190.8574409,181.320990889,130.052195094,0,0,0,0,0,0,0,0,0,baseline/openevolve/examples/symbolic_regression/problems/bio_pop_growth/BPG3/openevolve_output/best/best_program.py,,0,openevolve_cached_best_params,single openevolve best_program.py,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7];params[8];params[9],"[0.00020270473593838066,0.026829550342421318,-0.17029935102005972,-4.886263692098e-06,-0.1716165348431552,-0.016266286707580492,-0.2953690843579027,0.5485687090307979,0.4799051446885549,8.584612208186853e-05]",,0,0,0,0,0,0,0,0,0
BPG4,opus-4-6,openevolve,0,0,0,0,0,,,,,1.02867055764e-06,1.06445543904e-06,3.52872916158,7.62775067,1.90608380115,0,0,0,0,0,0,0,0,0,baseline/openevolve/examples/symbolic_regression/problems/bio_pop_growth/BPG4/openevolve_output/best/best_program.py,,0,openevolve_cached_best_params,single openevolve best_program.py,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7];params[8];params[9],"[-0.03724527738304659,0.34545426920413647,-0.003553029434482532,0.005920371600167592,-5.2127455155430514e-05,-0.3319686227026648,1.2727073746884972,0.6112710317158687,0.4187553609472689,-0.0024455063415098886]",,0,0,0,0,0,0,0,0,0
BPG5,opus-4-6,openevolve,0,0,0,0,0,,,,,6.46937110189e-08,6.33710773401e-08,7.50189730842e-05,10.3926033334,5.3549379332,0,0,0,0,0,0,0,0,0,baseline/openevolve/examples/symbolic_regression/problems/bio_pop_growth/BPG5/openevolve_output/best/best_program.py,,0,openevolve_cached_best_params,single openevolve best_program.py,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7];params[8];params[9],"[-0.4119857401330084,0.8928384185811877,-10.887142816221585,0.04396440437833771,-0.39782647065427196,0.8319166846900183,-0.18264962033094007,0.8655092283428729,0.29170902043296126,1.2255600665032125]",,0,0,1,0,0,1,0,0,1
BPG6,opus-4-6,openevolve,0,0,0,1,1,,,,,2.59308086015e-07,3.81036189404e-06,5.23478518306,18.4881629273,23.4745327799,0,0,0,0,0,0,0,0,0,baseline/openevolve/examples/symbolic_regression/problems/bio_pop_growth/BPG6/openevolve_output/best/best_program.py,,0,openevolve_cached_best_params,single openevolve best_program.py,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7];params[8];params[9],"[0.028823009002825688,-3.197510320435276,-2.4555368024355473,0.7714004708518265,-0.5938782480842283,0.24870832784243513,-0.18775559720421509,-2.8168417170696153e-08,1.2620939470975894,-0.08656529657940137]",,0,0,0,0,0,0,0,0,0
BPG7,opus-4-6,openevolve,0,0,0,0,0,,,,,2.21954804786e-05,1.58545714586e-05,0.171122559896,55.75973197,384.110929444,0,0,0,0,0,0,0,0,0,baseline/openevolve/examples/symbolic_regression/problems/bio_pop_growth/BPG7/openevolve_output/best/best_program.py,,0,openevolve_cached_best_params,single openevolve best_program.py,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7];params[8];params[9],"[0.7176049336017374,0.6573406498478,0.08183815733642762,0.14715461475541214,-0.028907036850019076,0.006103785881759985,-0.007550953619637588,0.18293572027212943,-122.19581170006512,162.5456530716246]",,0,0,0,0,0,0,0,0,0
BPG8,opus-4-6,openevolve,0,0,0,1,1,,,,,1.1819327921e-06,1.54137934455e-06,0.0118142676854,4.32518831122,10.0625161728,0,0,0,0,0,0,0,0,0,baseline/openevolve/examples/symbolic_regression/problems/bio_pop_growth/BPG8/openevolve_output/best/best_program.py,,0,openevolve_cached_best_params,single openevolve best_program.py,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7];params[8];params[9],"[0.28744479725348154,1.837359851470834,-0.02612212245463479,0.05677833721238258,-0.004486112440152889,0.35943365614498596,0.5366045189229064,0.3800842551673348,0.25370751574761286,1.0052580358566645]",,0,0,0,0,0,0,0,0,0
BPG9,opus-4-6,openevolve,0,0,0,1,1,,,,,4.51261807009e-06,3.60070552953e-06,0.00938299042945,8.24638762414,6.76398681318,0,0,0,0,0,0,0,0,0,baseline/openevolve/examples/symbolic_regression/problems/bio_pop_growth/BPG9/openevolve_output/best/best_program.py,,0,openevolve_cached_best_params,single openevolve best_program.py,params[0];params[1];params[2];params[3];params[4];params[5];params[6];params[7],"[0.059318367617638715,-0.0534528785387864,0.17089318134783188,0.006086812123007392,-0.0005473931193706136,0.041257852313613216,-2.175744551133986e-06,-0.016176637421215896]",,0,0,0,0,0,0,0,0,0
