case_id,split,equation_name,transform,n_params,optimizer,time_s,final_mse,final_nmse,converged,n_feval,timed_out
BPG0_T1a,bpg,BPG0,T1a,7,CMA-ES,3.803,1.873480e-09,6.190446e-11,True,7480,False
BPG0_T1a,bpg,BPG0,T1a,7,DE,24.687,4.654446e-12,1.537945e-13,True,62724,False
BPG0_T1a,bpg,BPG0,T1a,7,Hybrid,2.87,4.654512e-12,1.537967e-13,True,3855,False
BPG0_T1a,bpg,BPG0,T1a,7,L-BFGS-B,1.805,8.090176e-03,2.673196e-04,False,3448,False
BPG0_T1a,bpg,BPG0,T1a,7,least_squares,0.805,4.654432e-12,1.537940e-13,True,70,False
BPG0_T1b,bpg,BPG0,T1b,7,CMA-ES,3.055,2.285795e-09,7.552835e-11,True,8300,False
BPG0_T1b,bpg,BPG0,T1b,7,DE,77.298,4.852208e-05,1.603290e-06,False,210658,False
BPG0_T1b,bpg,BPG0,T1b,7,Hybrid,32.451,4.653965e-12,1.537786e-13,True,41282,False
BPG0_T1b,bpg,BPG0,T1b,7,L-BFGS-B,0.581,4.235154e-02,1.399400e-03,False,2184,False
BPG0_T1b,bpg,BPG0,T1b,7,least_squares,0.189,4.653463e-12,1.537620e-13,True,93,False
BPG10_T1a,bpg,BPG10,T1a,6,CMA-ES,2.954,2.128653e-08,9.830058e-11,True,8320,False
BPG10_T1a,bpg,BPG10,T1a,6,DE,43.106,6.154789e-11,2.842264e-13,True,120169,False
BPG10_T1a,bpg,BPG10,T1a,6,Hybrid,8.138,3.900146e-13,1.801076e-15,True,15188,False
BPG10_T1a,bpg,BPG10,T1a,6,L-BFGS-B,0.576,2.834649e-11,1.309033e-13,True,1701,False
BPG10_T1a,bpg,BPG10,T1a,6,least_squares,0.062,3.899902e-13,1.800963e-15,True,30,False
BPG10_T1b,bpg,BPG10,T1b,6,CMA-ES,22.116,2.403981e-04,1.110152e-06,False,60000,False
BPG10_T1b,bpg,BPG10,T1b,6,DE,54.369,2.575990e-05,1.189585e-07,False,180243,False
