case_id,split,equation_name,transform,n_params,optimizer,time_s,final_mse,final_nmse,converged,n_feval,timed_out
BPG0_T0,bpg,BPG0,T0,4,CMA-ES,1.983,1.384071e-09,4.573316e-11,True,4900,False
BPG0_T0,bpg,BPG0,T0,4,DE,4.673,4.656723e-12,1.538697e-13,True,17050,False
BPG0_T0,bpg,BPG0,T0,4,Hybrid,0.467,4.657149e-12,1.538838e-13,True,14,False
BPG0_T0,bpg,BPG0,T0,4,L-BFGS-B,0.847,6.393725e-03,2.112646e-04,False,1240,False
BPG0_T0,bpg,BPG0,T0,4,least_squares,0.62,4.656723e-12,1.538697e-13,True,38,False
BPG0_T1a,bpg,BPG0,T1a,7,CMA-ES,3.803,1.873480e-09,6.190446e-11,True,7480,False
BPG0_T1a,bpg,BPG0,T1a,7,DE,24.687,4.654446e-12,1.537945e-13,True,62724,False
BPG0_T1a,bpg,BPG0,T1a,7,Hybrid,2.87,4.654512e-12,1.537967e-13,True,3855,False
BPG0_T1a,bpg,BPG0,T1a,7,L-BFGS-B,1.805,8.090176e-03,2.673196e-04,False,3448,False
BPG0_T1a,bpg,BPG0,T1a,7,least_squares,0.805,4.654432e-12,1.537940e-13,True,70,False
BPG0_T1b,bpg,BPG0,T1b,7,CMA-ES,3.055,2.285795e-09,7.552835e-11,True,8300,False
BPG0_T1b,bpg,BPG0,T1b,7,DE,77.298,4.852208e-05,1.603290e-06,False,210658,False
BPG0_T1b,bpg,BPG0,T1b,7,Hybrid,32.451,4.653965e-12,1.537786e-13,True,41282,False
BPG0_T1b,bpg,BPG0,T1b,7,L-BFGS-B,0.581,4.235154e-02,1.399400e-03,False,2184,False
BPG0_T1b,bpg,BPG0,T1b,7,least_squares,0.189,4.653463e-12,1.537620e-13,True,93,False
BPG0_T2a,bpg,BPG0,T2a,5,CMA-ES,2.302,3.055175e+01,1.009506e+00,False,4580,False
BPG0_T2a,bpg,BPG0,T2a,5,DE,40.137,1.412351e-02,4.666759e-04,False,150408,False
BPG0_T2a,bpg,BPG0,T2a,5,Hybrid,0.454,4.657149e-12,1.538838e-13,True,1,False
BPG0_T2a,bpg,BPG0,T2a,5,L-BFGS-B,0.605,3.063920e+01,1.012396e+00,False,246,False
BPG0_T2a,bpg,BPG0,T2a,5,least_squares,0.832,2.989759e+01,9.878907e-01,False,52,False
BPG0_T2b,bpg,BPG0,T2b,5,CMA-ES,1.087,3.055455e+01,1.009599e+00,False,4480,False
BPG0_T2b,bpg,BPG0,T2b,5,DE,36.461,1.433203e-02,4.735660e-04,False,150414,False
BPG0_T2b,bpg,BPG0,T2b,5,Hybrid,0.01,4.657149e-12,1.538838e-13,True,1,False
BPG0_T2b,bpg,BPG0,T2b,5,L-BFGS-B,0.111,3.063920e+01,1.012395e+00,False,342,False
BPG0_T2b,bpg,BPG0,T2b,5,least_squares,10.838,3.062696e+01,1.011991e+00,False,5002,False
BPG0_T4a,bpg,BPG0,T4a,8,CMA-ES,5.199,1.876983e-09,6.202019e-11,True,16620,False
BPG0_T4a,bpg,BPG0,T4a,8,DE,57.302,3.263952e-08,1.078491e-09,False,240528,False
BPG0_T4a,bpg,BPG0,T4a,8,Hybrid,3.863,4.656172e-12,1.538515e-13,True,5460,False
BPG0_T4a,bpg,BPG0,T4a,8,L-BFGS-B,1.929,2.200239e-05,7.270138e-07,False,5157,False
BPG0_T4a,bpg,BPG0,T4a,8,least_squares,0.62,4.656286e-12,1.538553e-13,True,66,False
BPG0_T4b,bpg,BPG0,T4b,8,CMA-ES,8.207,1.880602e-09,6.213979e-11,True,33560,False
BPG0_T4b,bpg,BPG0,T4b,8,DE,41.962,4.656148e-12,1.538507e-13,True,160673,False
BPG0_T4b,bpg,BPG0,T4b,8,Hybrid,2.727,4.655655e-12,1.538344e-13,True,4005,False
BPG0_T4b,bpg,BPG0,T4b,8,L-BFGS-B,0.811,8.528745e-03,2.818110e-04,False,3465,False
BPG0_T4b,bpg,BPG0,T4b,8,least_squares,19.486,4.656094e-12,1.538489e-13,True,7966,False
BPG10_T0,bpg,BPG10,T0,3,CMA-ES,0.994,2.108668e-08,9.737767e-11,True,1920,False
BPG10_T0,bpg,BPG10,T0,3,DE,1.271,3.899994e-13,1.801006e-15,True,5480,False
BPG10_T0,bpg,BPG10,T0,3,Hybrid,0.008,3.900566e-13,1.801270e-15,True,14,False
BPG10_T0,bpg,BPG10,T0,3,L-BFGS-B,0.075,1.536844e-11,7.097100e-14,True,332,False
BPG10_T0,bpg,BPG10,T0,3,least_squares,0.019,3.899994e-13,1.801006e-15,True,9,False
BPG10_T1a,bpg,BPG10,T1a,6,CMA-ES,2.954,2.128653e-08,9.830058e-11,True,8320,False
BPG10_T1a,bpg,BPG10,T1a,6,DE,43.106,6.154789e-11,2.842264e-13,True,120169,False
BPG10_T1a,bpg,BPG10,T1a,6,Hybrid,8.138,3.900146e-13,1.801076e-15,True,15188,False
BPG10_T1a,bpg,BPG10,T1a,6,L-BFGS-B,0.576,2.834649e-11,1.309033e-13,True,1701,False
BPG10_T1a,bpg,BPG10,T1a,6,least_squares,0.062,3.899902e-13,1.800963e-15,True,30,False
BPG10_T1b,bpg,BPG10,T1b,6,CMA-ES,22.116,2.403981e-04,1.110152e-06,False,60000,False
